enu_low,enu_high,enu_center,local_cv,local_unweighted,local_cv_over_unweighted,paper_cv,paper_over_local
0.0,0.5,0.25,5.1051447500509155e-06,5.685244749968232e-06,0.8979639355156067,4.501604e-06,0.8817779358665794
0.5,1.0,0.75,8.454753768668756e-06,9.517321224842114e-06,0.8883543561186267,7.456315e-06,0.8819080015826452
1.0,1.5,1.25,8.08151841514416e-06,9.214197281210421e-06,0.877072431651098,7.106737e-06,0.8793814027178984
1.5,1.6,1.55,1.0607293170994126e-05,1.2193977496408877e-05,0.8698796741356928,1.15426828e-05,1.0881836311985529
1.6,1.7,1.65,1.2999711597736762e-05,1.486779868052579e-05,0.8743534854802752,1.3021331399999998e-05,1.001663098608049
1.7,1.8,1.75,1.560716249611412e-05,1.7841503384136706e-05,0.8747672300973701,1.449998e-05,0.9290593343671671
1.8,1.9,1.85,1.913498439825921e-05,2.1646261249230364e-05,0.8839856535936227,1.8419904000000004e-05,0.962629684802656
1.9,2.0,1.95,2.292590994637211e-05,2.583955414329008e-05,0.8872409260329835,2.2339828e-05,0.9744358262008765
2.0,2.1,2.05,2.73426876782004e-05,3.080765027920592e-05,0.8875291504024815,2.6259751999999994e-05,0.9603939564776653
2.1,2.2,2.1500000000000004,3.1489294464570027e-05,3.55491226083462e-05,0.885796671031678,3.017967600000002e-05,0.958410676173024
2.2,2.3,2.25,3.765037828340762e-05,4.245358704098863e-05,0.8868597663386243,3.40996e-05,0.9056907673893827
2.3,2.4,2.3499999999999996,4.361635695013496e-05,4.8894504780206034e-05,0.8920502855321315,3.9023375999999984e-05,0.8946959060476791
2.4,2.5,2.45,4.951955519324911e-05,5.5515837360867724e-05,0.8919897014496749,4.394715200000001e-05,0.8874706533307315
2.5,2.6,2.55,5.516257495021845e-05,6.181286075991339e-05,0.8924125865080854,4.887092799999999e-05,0.8859435594531915
2.6,2.7,2.6500000000000004,5.9913888941281805e-05,6.68675919635358e-05,0.8960078743968231,5.379470400000002e-05,0.897867004639294
2.7,2.8,2.75,6.536546246921113e-05,7.342516954915314e-05,0.8902323667833468,5.871848e-05,0.8983104805180254
2.8,2.9000000000000004,2.85,7.013152374165886e-05,7.876649498740486e-05,0.8903725340688731,6.220449000000001e-05,0.8869690359094521
2.9000000000000004,3.0,2.95,7.453427723728875e-05,8.377527315716304e-05,0.8896930374367372,6.569050000000001e-05,0.8813461729945603
3.0,3.1,3.05,7.819637924074556e-05,8.810476684075158e-05,0.8875385753200469,6.917651e-05,0.8846510627688295
3.1,3.2,3.1500000000000004,8.203112902643441e-05,9.260722648698265e-05,0.8857961968871308,7.266252000000001e-05,0.8857920262999748
3.2,3.3,3.25,8.482807565413149e-05,9.595294156741889e-05,0.8840591467905047,7.614853e-05,0.8976807432303369
3.3,3.4000000000000004,3.35,8.747902597922927e-05,9.894251906116685e-05,0.884139870394337,7.8010632e-05,0.8917638385516842
3.4000000000000004,3.5,3.45,8.933054504343152e-05,0.00010080328697863438,0.8861868270462793,7.9872734e-05,0.8941256762865016
3.5,3.6,3.55,9.167807674627245e-05,0.00010319428495690212,0.8884026550943274,8.1734836e-05,0.891541782952196
3.6,3.7,3.6500000000000004,9.356926357494679e-05,0.00010515713072953842,0.8898042664895893,8.359693800000001e-05,0.8934230622969562
3.7,3.8000000000000003,3.75,9.454348166100881e-05,0.00010616108883728589,0.8905662394431213,8.545904e-05,0.9039125542934666
3.8000000000000003,3.9000000000000004,3.8500000000000005,9.590884972825638e-05,0.00010782622972606462,0.889476057652348,8.7150652e-05,0.9086820689324141
3.9000000000000004,4.0,3.95,9.833050411231496e-05,0.00011059219475562695,0.88912697979811,8.8842264e-05,0.9035066463050234
4.0,4.1,4.05,9.991061596452222e-05,0.00011232601891019927,0.8894699281063034,9.053387599999999e-05,0.9061487122864714
4.1,4.2,4.15,0.00010148546977700925,0.00011419941755043929,0.8886688912593221,9.222548800000001e-05,0.9087555903583449
4.2,4.300000000000001,4.25,0.0001044001687905907,0.00011737805817205098,0.8894351330771081,9.39171e-05,0.8995876260351839
4.300000000000001,4.4,4.3500000000000005,0.00010693838501172474,0.00011990653199496254,0.8918478687734659,9.649118000000001e-05,0.9023063139528495
4.4,4.5,4.45,0.00010983841370825059,0.00012283913175723015,0.8941646862607823,9.906526e-05,0.9019181600995632
4.5,4.6,4.55,0.0001131054495964163,0.00012606827061074913,0.8971761811950519,0.00010163933999999999,0.8986246052924084
4.6,4.7,4.65,0.00011580055952483789,0.00012893531802470024,0.8981290875061392,0.00010421342,0.899938829549847
