GlobalID,P||bin,Ptbin,P||bin_lowedge,P||bin_highedge,Ptbin_lowedge,Ptbin_highedge
0,1,1,1.50,2.00,0.00,0.07
16,1,2,1.50,2.00,0.07,0.15
32,1,3,1.50,2.00,0.15,0.25
48,1,4,1.50,2.00,0.25,0.33
64,1,5,1.50,2.00,0.33,0.40
80,1,6,1.50,2.00,0.40,0.47
96,1,7,1.50,2.00,0.47,0.55
112,1,8,1.50,2.00,0.55,0.70
128,1,9,1.50,2.00,0.70,0.85
144,1,10,1.50,2.00,0.85,1.00
160,1,11,1.50,2.00,1.00,1.25
176,1,12,1.50,2.00,1.25,1.50
192,1,13,1.50,2.00,1.50,2.50
208,1,14,1.50,2.00,2.50,4.50
1,2,1,2.00,2.50,0.00,0.07
17,2,2,2.00,2.50,0.07,0.15
33,2,3,2.00,2.50,0.15,0.25
49,2,4,2.00,2.50,0.25,0.33
65,2,5,2.00,2.50,0.33,0.40
81,2,6,2.00,2.50,0.40,0.47
97,2,7,2.00,2.50,0.47,0.55
113,2,8,2.00,2.50,0.55,0.70
129,2,9,2.00,2.50,0.70,0.85
145,2,10,2.00,2.50,0.85,1.00
161,2,11,2.00,2.50,1.00,1.25
177,2,12,2.00,2.50,1.25,1.50
193,2,13,2.00,2.50,1.50,2.50
209,2,14,2.00,2.50,2.50,4.50
2,3,1,2.50,3.00,0.00,0.07
18,3,2,2.50,3.00,0.07,0.15
34,3,3,2.50,3.00,0.15,0.25
50,3,4,2.50,3.00,0.25,0.33
66,3,5,2.50,3.00,0.33,0.40
82,3,6,2.50,3.00,0.40,0.47
98,3,7,2.50,3.00,0.47,0.55
114,3,8,2.50,3.00,0.55,0.70
130,3,9,2.50,3.00,0.70,0.85
146,3,10,2.50,3.00,0.85,1.00
162,3,11,2.50,3.00,1.00,1.25
178,3,12,2.50,3.00,1.25,1.50
194,3,13,2.50,3.00,1.50,2.50
210,3,14,2.50,3.00,2.50,4.50
3,4,1,3.00,3.50,0.00,0.07
19,4,2,3.00,3.50,0.07,0.15
35,4,3,3.00,3.50,0.15,0.25
51,4,4,3.00,3.50,0.25,0.33
67,4,5,3.00,3.50,0.33,0.40
83,4,6,3.00,3.50,0.40,0.47
99,4,7,3.00,3.50,0.47,0.55
115,4,8,3.00,3.50,0.55,0.70
131,4,9,3.00,3.50,0.70,0.85
147,4,10,3.00,3.50,0.85,1.00
163,4,11,3.00,3.50,1.00,1.25
179,4,12,3.00,3.50,1.25,1.50
195,4,13,3.00,3.50,1.50,2.50
211,4,14,3.00,3.50,2.50,4.50
4,5,1,3.50,4.00,0.00,0.07
20,5,2,3.50,4.00,0.07,0.15
36,5,3,3.50,4.00,0.15,0.25
52,5,4,3.50,4.00,0.25,0.33
68,5,5,3.50,4.00,0.33,0.40
84,5,6,3.50,4.00,0.40,0.47
100,5,7,3.50,4.00,0.47,0.55
116,5,8,3.50,4.00,0.55,0.70
132,5,9,3.50,4.00,0.70,0.85
148,5,10,3.50,4.00,0.85,1.00
164,5,11,3.50,4.00,1.00,1.25
180,5,12,3.50,4.00,1.25,1.50
196,5,13,3.50,4.00,1.50,2.50
212,5,14,3.50,4.00,2.50,4.50
5,6,1,4.00,4.50,0.00,0.07
21,6,2,4.00,4.50,0.07,0.15
37,6,3,4.00,4.50,0.15,0.25
53,6,4,4.00,4.50,0.25,0.33
69,6,5,4.00,4.50,0.33,0.40
85,6,6,4.00,4.50,0.40,0.47
101,6,7,4.00,4.50,0.47,0.55
117,6,8,4.00,4.50,0.55,0.70
133,6,9,4.00,4.50,0.70,0.85
149,6,10,4.00,4.50,0.85,1.00
165,6,11,4.00,4.50,1.00,1.25
181,6,12,4.00,4.50,1.25,1.50
197,6,13,4.00,4.50,1.50,2.50
213,6,14,4.00,4.50,2.50,4.50
6,7,1,4.50,5.00,0.00,0.07
22,7,2,4.50,5.00,0.07,0.15
38,7,3,4.50,5.00,0.15,0.25
54,7,4,4.50,5.00,0.25,0.33
70,7,5,4.50,5.00,0.33,0.40
86,7,6,4.50,5.00,0.40,0.47
102,7,7,4.50,5.00,0.47,0.55
118,7,8,4.50,5.00,0.55,0.70
134,7,9,4.50,5.00,0.70,0.85
150,7,10,4.50,5.00,0.85,1.00
166,7,11,4.50,5.00,1.00,1.25
182,7,12,4.50,5.00,1.25,1.50
198,7,13,4.50,5.00,1.50,2.50
214,7,14,4.50,5.00,2.50,4.50
7,8,1,5.00,6.00,0.00,0.07
23,8,2,5.00,6.00,0.07,0.15
39,8,3,5.00,6.00,0.15,0.25
55,8,4,5.00,6.00,0.25,0.33
71,8,5,5.00,6.00,0.33,0.40
87,8,6,5.00,6.00,0.40,0.47
103,8,7,5.00,6.00,0.47,0.55
119,8,8,5.00,6.00,0.55,0.70
135,8,9,5.00,6.00,0.70,0.85
151,8,10,5.00,6.00,0.85,1.00
