P||bin,Ptbin,cross_section,statistical_uncertainty,total_uncertainty
1,1,9.83e-41,1.12e-41,1.93e-41
1,2,4.77e-40,2.37e-41,5.94e-41
1,3,1.37e-39,3.24e-41,1.82e-40
1,4,2.70e-39,5.74e-41,3.44e-40
1,5,3.86e-39,7.46e-41,4.93e-40
1,6,5.25e-39,9.59e-41,6.72e-40
1,7,6.79e-39,1.28e-40,8.38e-40
1,8,4.61e-39,7.65e-41,3.64e-40
1,9,1.33e-40,6.07e-42,1.21e-41
1,10,0.00e+00,0.00e+00,0.00e+00
1,11,0.00e+00,0.00e+00,0.00e+00
1,12,0.00e+00,0.00e+00,0.00e+00
1,13,0.00e+00,0.00e+00,0.00e+00
1,14,0.00e+00,0.00e+00,0.00e+00
2,1,1.64e-40,1.03e-41,1.52e-41
2,2,5.96e-40,1.99e-41,4.41e-41
2,3,1.59e-39,2.70e-41,1.17e-40
2,4,2.87e-39,4.63e-41,2.26e-40
2,5,4.10e-39,5.91e-41,3.04e-40
2,6,5.49e-39,7.31e-41,3.96e-40
2,7,6.60e-39,8.97e-41,4.58e-40
2,8,7.89e-39,7.77e-41,5.09e-40
2,9,6.05e-39,8.67e-41,3.66e-40
2,10,4.92e-40,1.90e-41,4.51e-41
2,11,0.00e+00,0.00e+00,0.00e+00
2,12,0.00e+00,0.00e+00,0.00e+00
2,13,0.00e+00,0.00e+00,0.00e+00
2,14,0.00e+00,0.00e+00,0.00e+00
3,1,1.95e-40,1.06e-41,1.59e-41
3,2,6.58e-40,1.99e-41,5.60e-41
3,3,1.64e-39,2.68e-41,1.26e-40
3,4,2.87e-39,4.42e-41,2.00e-40
3,5,4.18e-39,5.47e-41,2.95e-40
3,6,5.38e-39,6.42e-41,3.55e-40
3,7,6.42e-39,7.57e-41,4.06e-40
3,8,7.50e-39,6.16e-41,4.44e-40
3,9,7.95e-39,7.72e-41,4.56e-40
3,10,6.42e-39,8.20e-41,3.60e-40
3,11,6.13e-40,1.78e-41,3.87e-41
3,12,0.00e+00,0.00e+00,0.00e+00
3,13,0.00e+00,0.00e+00,0.00e+00
3,14,0.00e+00,0.00e+00,0.00e+00
