P||bin,Ptbin,model_cross_section
1,1,1.09e-40
1,2,4.22e-40
1,3,1.16e-39
1,4,2.39e-39
1,5,3.81e-39
1,6,5.32e-39
1,7,6.70e-39
1,8,4.44e-39
1,9,1.19e-40
1,10,0.00e+00
1,11,0.00e+00
1,12,0.00e+00
1,13,0.00e+00
1,14,0.00e+00
2,1,1.46e-40
2,2,5.35e-40
2,3,1.29e-39
2,4,2.45e-39
2,5,3.74e-39
2,6,5.07e-39
2,7,6.22e-39
2,8,7.50e-39
2,9,5.71e-39
2,10,4.69e-40
2,11,0.00e+00
2,12,0.00e+00
2,13,0.00e+00
2,14,0.00e+00
3,1,1.80e-40
3,2,6.29e-40
3,3,1.42e-39
3,4,2.55e-39
3,5,3.75e-39
3,6,4.95e-39
3,7,5.94e-39
3,8,7.00e-39
3,9,7.34e-39
3,10,5.51e-39
3,11,4.87e-40
3,12,0.00e+00
3,13,0.00e+00
3,14,0.00e+00
4,1,1.98e-40
4,2,6.74e-40
4,3,1.49e-39
4,4,2.62e-39
4,5,3.75e-39
4,6,4.82e-39
4,7,5.66e-39
4,8,6.53e-39
4,9,6.81e-39
4,10,5.99e-39
4,11,3.09e-39
4,12,1.63e-41
4,13,0.00e+00
4,14,0.00e+00
5,1,2.13e-40
5,2,7.24e-40
5,3,1.55e-39
5,4,2.66e-39
5,5,3.73e-39
5,6,4.71e-39
5,7,5.47e-39
5,8,6.17e-39
5,9,6.31e-39
5,10,5.51e-39
5,11,3.68e-39
5,12,8.92e-40
5,13,0.00e+00
5,14,0.00e+00
6,1,2.36e-40
6,2,7.78e-40
6,3,1.63e-39
6,4,2.74e-39
6,5,3.77e-39
6,6,4.71e-39
6,7,5.36e-39
6,8,5.89e-39
6,9,5.83e-39
6,10,4.96e-39
6,11,3.28e-39
6,12,1.41e-39
6,13,3.30e-41
6,14,0.00e+00
7,1,2.48e-40
7,2,8.29e-40
7,3,1.72e-39
7,4,2.81e-39
7,5,3.81e-39
7,6,4.66e-39
7,7,5.18e-39
7,8,5.50e-39
7,9,5.27e-39
7,10,4.32e-39
7,11,2.79e-39
7,12,1.22e-39
7,13,9.55e-41
7,14,0.00e+00
8,1,2.54e-40
8,2,8.30e-40
8,3,1.67e-39
8,4,2.68e-39
8,5,3.57e-39
8,6,4.25e-39
8,7,4.58e-39
8,8,4.61e-39
8,9,4.17e-39
8,10,3.28e-39
8,11,2.02e-39
8,12,8.97e-40
8,13,1.10e-40
8,14,0.00e+00
9,1,1.94e-40
9,2,6.30e-40
9,3,1.26e-39
9,4,1.98e-39
9,5,2.59e-39
9,6,2.98e-39
9,7,3.13e-39
9,8,3.00e-39
9,9,2.54e-39
9,10,1.90e-39
9,11,1.15e-39
9,12,5.41e-40
9,13,1.02e-40
9,14,1.52e-44
10,1,1.04e-40
10,2,3.46e-40
10,3,6.87e-40
10,4,1.07e-39
10,5,1.38e-39
10,6,1.59e-39
10,7,1.63e-39
10,8,1.53e-39
10,9,1.29e-39
10,10,9.67e-40
10,11,6.13e-40
10,12,3.35e-40
10,13,8.94e-41
10,14,9.44e-43
11,1,4.77e-41
11,2,1.56e-40
11,3,3.11e-40
11,4,4.85e-40
11,5,6.27e-40
11,6,7.19e-40
11,7,7.44e-40
11,8,7.12e-40
11,9,6.15e-40
11,10,4.99e-40
11,11,3.54e-40
11,12,2.30e-40
11,13,7.99e-41
11,14,1.98e-42
12,1,2.12e-41
12,2,7.04e-41
12,3,1.42e-40
12,4,2.24e-40
12,5,2.86e-40
12,6,3.40e-40
12,7,3.60e-40
12,8,3.58e-40
12,9,3.35e-40
12,10,2.96e-40
12,11,2.37e-40
12,12,1.76e-40
12,13,7.29e-41
12,14,2.56e-42
13,1,7.65e-42
13,2,2.13e-41
13,3,4.33e-41
13,4,6.94e-41
13,5,9.41e-41
13,6,1.14e-40
13,7,1.26e-40
13,8,1.36e-40
13,9,1.42e-40
13,10,1.38e-40
13,11,1.27e-40
13,12,1.07e-40
13,13,5.44e-41
13,14,3.71e-42
14,1,3.15e-42
14,2,7.44e-42
14,3,1.57e-41
14,4,2.51e-41
14,5,3.39e-41
14,6,4.22e-41
14,7,4.82e-41
14,8,5.36e-41
14,9,5.96e-41
14,10,6.09e-41
14,11,5.99e-41
14,12,5.44e-41
14,13,3.34e-41
14,14,4.08e-42
15,1,9.37e-43
15,2,2.27e-42
15,3,4.31e-42
15,4,7.26e-42
15,5,9.92e-42
15,6,1.22e-41
15,7,1.40e-41
15,8,1.58e-41
15,9,1.76e-41
15,10,1.85e-41
15,11,1.87e-41
15,12,1.78e-41
15,13,1.22e-41
15,14,2.15e-42
16,1,1.51e-43
16,2,4.11e-43
16,3,7.38e-43
16,4,1.19e-42
16,5,1.68e-42
16,6,2.15e-42
16,7,2.30e-42
16,8,2.55e-42
16,9,2.73e-42
16,10,2.87e-42
16,11,2.78e-42
16,12,2.46e-42
16,13,1.54e-42
16,14,2.60e-43
