# Stage-1 #5 coverage summary (n_toys=20)
# ix iy coverage sigma truth_mean unfolded_mean
0 0 0.7000 1.827964e-42 1.007262e-40 1.008661e-40
0 1 0.6500 2.046686e-42 1.363985e-40 1.365194e-40
0 2 0.6500 2.093295e-42 1.660558e-40 1.661757e-40
0 3 0.6500 2.095064e-42 1.815675e-40 1.815624e-40
0 4 0.6000 1.627601e-42 1.981945e-40 1.980367e-40
0 5 0.7000 2.447426e-42 2.176770e-40 2.176081e-40
0 6 0.6000 2.015936e-42 2.283403e-40 2.283075e-40
0 7 0.7000 1.592975e-42 2.368211e-40 2.368848e-40
0 8 0.6500 1.514030e-42 1.813475e-40 1.814392e-40
0 9 0.6500 1.187875e-42 9.784915e-41 9.780039e-41
0 10 0.8000 7.945259e-43 4.475263e-41 4.471577e-41
0 11 0.6500 4.465958e-43 2.003330e-41 2.002873e-41
0 12 0.6500 1.294429e-43 7.122716e-42 7.109522e-42
0 13 0.6000 1.023353e-43 2.976585e-42 2.956470e-42
0 14 0.7000 3.216941e-44 8.409439e-43 8.334426e-43
0 15 0.8500 1.015540e-44 1.121901e-43 1.115719e-43
1 0 0.7000 3.949377e-42 4.074764e-40 4.077973e-40
1 1 0.7500 3.166918e-42 5.177176e-40 5.177483e-40
1 2 0.6500 3.647409e-42 6.116973e-40 6.117095e-40
1 3 0.7000 2.847083e-42 6.559115e-40 6.558115e-40
1 4 0.7000 3.255367e-42 7.017774e-40 7.012439e-40
1 5 0.6500 3.862022e-42 7.566369e-40 7.563057e-40
1 6 0.5500 5.069213e-42 8.084360e-40 8.082294e-40
1 7 0.7000 3.264238e-42 8.094116e-40 8.092454e-40
1 8 0.7000 2.448573e-42 6.171742e-40 6.172859e-40
1 9 0.7000 1.724183e-42 3.398242e-40 3.397002e-40
1 10 0.8000 1.274685e-42 1.551487e-40 1.550976e-40
1 11 0.7500 8.561752e-43 6.960911e-41 6.962513e-41
1 12 0.7000 2.144142e-43 2.088422e-41 2.090460e-41
1 13 0.7000 9.556800e-44 7.107497e-42 7.094007e-42
1 14 0.7000 5.099797e-44 2.077421e-42 2.068315e-42
1 15 0.7000 1.755517e-44 3.496166e-43 3.487271e-43
2 0 0.7500 6.001140e-42 1.161131e-39 1.160512e-39
2 1 0.5500 4.019398e-42 1.285460e-39 1.284344e-39
2 2 0.6500 3.984620e-42 1.416728e-39 1.415818e-39
2 3 0.6000 5.735905e-42 1.491897e-39 1.491060e-39
2 4 0.7500 4.968329e-42 1.544126e-39 1.542786e-39
2 5 0.7500 4.987312e-42 1.633177e-39 1.632379e-39
2 6 0.6500 5.873760e-42 1.717517e-39 1.717001e-39
2 7 0.6500 4.699554e-42 1.673486e-39 1.673213e-39
2 8 0.7000 4.394516e-42 1.266381e-39 1.266733e-39
2 9 0.6500 2.800908e-42 6.935892e-40 6.934197e-40
2 10 0.7000 1.872218e-42 3.155594e-40 3.154760e-40
2 11 0.7000 1.124028e-42 1.430809e-40 1.431064e-40
2 12 0.8000 3.151012e-43 4.328168e-41 4.334562e-41
2 13 0.8500 2.016937e-43 1.538314e-41 1.539821e-41
2 14 0.6000 4.115346e-44 4.057723e-42 4.049575e-42
2 15 0.7000 1.943336e-44 6.316497e-43 6.302179e-43
3 0 0.7000 8.393690e-42 2.437766e-39 2.438994e-39
3 1 0.6500 7.388308e-42 2.483597e-39 2.482811e-39
3 2 0.6000 9.407063e-42 2.589502e-39 2.588990e-39
3 3 0.7500 7.844079e-42 2.654874e-39 2.654150e-39
3 4 0.6500 9.314599e-42 2.689101e-39 2.687960e-39
3 5 0.8000 8.731760e-42 2.775886e-39 2.775860e-39
3 6 0.6000 6.489909e-42 2.838650e-39 2.839118e-39
3 7 0.7000 6.088948e-42 2.714445e-39 2.715501e-39
3 8 0.7000 5.891108e-42 2.010242e-39 2.011533e-39
3 9 0.6000 3.768468e-42 1.093335e-39 1.093518e-39
3 10 0.7000 1.971295e-42 4.963355e-40 4.964087e-40
3 11 0.7500 2.614116e-42 2.278393e-40 2.279149e-40
3 12 0.6500 3.849376e-43 7.025696e-41 7.033121e-41
3 13 0.7500 3.155637e-43 2.495863e-41 2.497938e-41
3 14 0.7000 6.544495e-44 6.917455e-42 6.899796e-42
3 15 0.7500 2.822576e-44 1.007975e-42 1.002135e-42
4 0 0.6500 1.634885e-41 3.846701e-39 3.849132e-39
4 1 0.6000 1.601275e-41 3.771949e-39 3.772007e-39
4 2 0.6000 1.198048e-41 3.782224e-39 3.782200e-39
4 3 0.8000 8.168444e-42 3.776863e-39 3.776513e-39
4 4 0.6500 1.262456e-41 3.752569e-39 3.751665e-39
4 5 0.6500 7.378748e-42 3.793163e-39 3.793123e-39
4 6 0.7000 1.027019e-41 3.841862e-39 3.842261e-39
4 7 0.7000 8.174471e-42 3.599392e-39 3.599922e-39
4 8 0.7500 8.385691e-42 2.617290e-39 2.618170e-39
4 9 0.7500 5.956274e-42 1.396324e-39 1.396297e-39
4 10 0.6000 2.088122e-42 6.394737e-40 6.394607e-40
4 11 0.7000 2.611566e-42 2.899263e-40 2.899367e-40
4 12 0.7500 5.640059e-43 9.389181e-41 9.396453e-41
4 13 0.6000 3.687877e-43 3.329305e-41 3.331762e-41
4 14 0.7000 8.870969e-44 9.400524e-42 9.376804e-42
4 15 0.8500 5.001912e-44 1.439252e-42 1.430396e-42
5 0 0.6000 2.179200e-41 5.260789e-39 5.266498e-39
5 1 0.7000 1.307852e-41 5.018150e-39 5.019355e-39
5 2 0.6500 1.007720e-41 4.906179e-39 4.906879e-39
5 3 0.7000 1.148334e-41 4.781918e-39 4.781931e-39
