source_record	lifecycle	queue	classification_rule	source_row_sha256	state_prefix
OI-179	active	NOW	safe-default-active	6cfb8911ed964b6032fc32f7c2805c9ab06603139a8307a7f9cbd6ba14defb53	OPEN
OI-177	active	NOW	safe-default-active	9653c2141dbc41b71c0ff2dae8d5a6c59dec35a47a34aa7137ea45b91f2e12f6	OPEN
OI-176	retired	-	explicit-terminal-prefix	34517ff3b245dd1e7ad19779e7f4edf1d501da6d5897ec1d5566dc510fc384a5	DISCHARGED
OI-173	active	NOW	safe-default-active	b73850f3395bd9df9cc826df1676f838c47409dda19835be7a043d384c3964ff	OPEN
OI-174	active	NOW	safe-default-active	46e62d8dbf1f49130bcf3d2a385b4fe4582c2328836efa34c1b7ac2a5ecc6c8c	OPEN
OI-175	retired	-	explicit-terminal-prefix	1893c9ab84ba9f51382fd77b2bcd640b2500c9ec6a5406b460be06df3b9ab0cf	DISCHARGED
OI-172	active	NOW	safe-default-active	8f7d53802301146c8d7bb6b4230a2721e1868229a183944f90e4b924f111749e	OPEN
OI-171	active	NOW	safe-default-active	7c17e0538bcdfd2a227ca9f9f116fe26a9b836578da112d80ddf767463994019	OPEN
OI-170	active	NOW	safe-default-active	1996d27f5805960c467aca3e059c81b9bedcfdfe7be48de3c57c50cc35c09fd6	OPEN
OI-162	active	NOW	safe-default-active	137eb0d278f7d52107e34fd819639680943dd7b09b187364c6c41929938b8808	OPEN
OI-160	active	NOW	safe-default-active	1215d91ef45157d74d547a0f618378bf9d2d85067d41ead51c49048c87802ecb	OPEN
OI-161	active	NOW	safe-default-active	7eccccc9904c9b45b75b20425baec05ae242781ad0b3c1a531f540ffda989c4d	OPEN
OI-152	active	NOW	safe-default-active	542434ff88a929398905c5fa8ee5b9876ec37a0ed8da97323acbf84544a07065	OPEN
OI-151	active	NOW	safe-default-active	f79832d5d1e92142a752a0410a5d356c0ffc8a32eef8e65fef12135b3c0ef003	OPEN
OI-150	active	NOW	safe-default-active	de8ff9391fbfa6054bf0dcbe976bcdcf8287119bd7743cd0264b832d9847121a	OPEN
OI-149	active	NOW	safe-default-active	d94c61d5e71df2f309e8dae79c14eedccbcdb73b9368ade67418db98379c58de	FIXED AND LANDED 2026-08-21 (89e0c62f) -- NO LONGER AWAITING A USER DECISION. Joseph ruled it and the code is in: assert
OI-147	active	NOW	safe-default-active	087ed39c939011bd21f97a0705a67cfe6ab89edcebd3799471fb5ea2d7e6949e	COMPLETE 2026-08-21. The seven configuration keys landed at aa989794, the eighth (hDiagCombinedOld, via the raw diagonal
OI-148	active	NOW	safe-default-active	99f0ca156a72b4a124ffea9065ed747c672fe9d39569f90ebd54c9d26c218c9e	OPEN — NARROWED 2026-08-21. The four rows are RECONSTRUCTED and the seven-column check PASSES; what stays open is that n
OI-140	active	WAITING-JOSEPH	explicit-user-decision	1b42ec8fd6a971989a4e3ab9144ad28628711a80d446ba0de4fe3e7af962c6a6	VERIFICATION LANDED 2026-08-21 (3cb46337) -- AND THE GATE IS STILL NOT PASSABLE; SEE OI-147. Route chosen: REAL in-file
OI-141	active	WAITING-JOSEPH	explicit-user-decision	182e2d52a1023ff49f33990f4e4fa01030216fce7661be86816983df1be1952d	FIXED AND LANDED 2026-08-21 (3cb46337). compare() returns ComparisonResult, a 2-long tuple subclass carrying .uncomparab
OI-142	active	NOW	safe-default-active	a1e28d670068b62611450ada9480822611b53878a2a3f4c17ee94d9dcd5e34fa	SHELL LIBRARY FIXED 2026-08-21; ONE RESIDUAL, NAMED AND NOT SILENTLY DROPPED. rg_is_complete now REFUSES a marker carryi
OI-143	active	WAITING-JOSEPH	explicit-user-decision	f8e601a791e4edb1acd364fcebda74c1c53c068df9dde1d36605d370ca4341f0	(a) LANDED 2026-08-21 (ea1a3fd6); (b) NARROWED AND STILL OPEN. (a) A JSON declaring a top-level _fixture key is held out
OI-144	retired	-	explicit-terminal-prefix	e5928037f0366b68fc68e67e65a99f362b97fccbd2eedef0c25c1b7f55eb80b8	DISCHARGED 2026-08-21. The fix landed at e135a657/fc4293ef and the residual it was left open on is now closed by measure
OI-145	active	NOW	safe-default-active	f8663be3ba263c3dec175e6d870c5fcddd79c7e3b2d369079d778c2442ad1739	REPINNED 2026-08-21 (ea1a3fd6) -- ACCEPTED AS A VERSIONED REPIN, NOT REVERTED AND NOT OVERWRITTEN. All 7 edits verified
OI-146	retired	-	explicit-terminal-prefix	6f571478221b81d9eacb508c4988297ac9ef61b8629f3f9dc7a1113516f5ed6d	CLOSED 2026-08-21 (4fb0e3d4) -- GATED WITH THEIR PARENTS AND NOW DEFINED FROM THEM. The bare literals 1.4 % / 1.8 % beca
OI-70	active	NOW	safe-default-active	57d9a4785f70ab57952f8567e8d2f3b8847892220e43ab34343b984fbae768e3	MECHANICAL HALF DISCHARGED 2026-08-15 from the MAIN CHECKOUT on Joseph's authorization (relayed by the mediator, grant c
OI-71	active	WAITING-JOSEPH	explicit-user-decision	6bf07285524a7460c8b3cf2e1d2cbab687481a66bc037dd2902476de8f9d2540	WAITING-USER, AND NARROWER THAN THIS ROW SAID. CORRECTED 2026-08-15: the physics ground for quoting VL100 is MIS-TARGETE
OI-72	retired	-	explicit-terminal-prefix	08453ed7dad41224c113f311a9defc28e773c9cdaa2bff715178f9fc3d76c751	WITHDRAWN THE SAME HOUR IT WAS FILED — already found by lane B, already fixed, and the id is kept rather than reused. Fi
OI-73	active	BLOCKED-EXTERNAL	explicit-blocker	e932be5a5dc8b47d5c460a6b29e7e2ac807ef35931dfd5b5b0622f35e6f5cbb9	ITEMS (1) AND (3) DISCHARGED 2026-08-15; ITEM (2) IS BLOCKED BY A CODE DEFECT AND THIS ROW STAYS OPEN ON IT. Raised 2026
OI-74	active	NOW	safe-default-active	530d7ab97903cfe7527771d8104be29bb7c6470c6eaaf051f2c708336ff7b8f9	CORRECTED AND NARROWED 2026-08-17 (lane E) — THE DRIFT IS GONE, THE TREE IS SYNCED AT 7ac36ac, AND EVERY QUANTITY IN THI
OI-75	active	WAITING-JOSEPH	explicit-user-decision	455e03c9508d19a17167f86d14e29fbb887a233ab00adff8a53aa056871ffe14	OPEN — WAITING-USER on item (1), which this lane is DELIBERATELY NOT ADJUDICATING. Filed 2026-08-15 by lane A while corr
OI-1	active	BLOCKED-EXTERNAL	explicit-blocker	e96dba9d3913a6dc5ff47820b046c3de891c112effd037458c4ad67e766d12c7	BLOCKED
OI-2	active	NOW	safe-default-active	b67224d83254be9e57038c6f2853865ce3ac3c655584903989847753d4b1846a	4D SUPERSEDED / scalar-FPS STILL OPEN — SPLIT VERDICT, codex audit 2026-08-13
OI-3	active	BLOCKED-EXTERNAL	explicit-blocker	9beffe579cee1bdcf03e096cb727ed65e060c9b35d7b99a3aa363d695c788fe2	BLOCKED — now SCOPED, and the blocker is a decision not compute
OI-4	active	BLOCKED-EXTERNAL	explicit-blocker	063c2bfc4c2053134774e14f9b93293287a08503e6301379243a601419ff3b69	BLOCKED
OI-5	retired	-	explicit-terminal-prefix	81768a5cabbc5f3a442b62ac4058b697eaacd5406ad111342b58e4b04082ca77	DISCHARGED 2026-08-13 — the conflict was a scope collision, both statements are true
OI-6	active	NOW	safe-default-active	777ebab79d9dff369ecf434e84574cdc22dc18a9fc2172e04a3f78e9b9c22de0	DECIDED 2026-08-15 (purity, reading (A)); the NOTE OBLIGATION IS DISCHARGED; the REVISIT OBLIGATION SURVIVES AS THE OPEN
