ERROR: logging before google.Init: I0826 07:18:46.146625       1 resolver.go:85] Model ID Gemini 3.1 Pro (High) not in local config, defaulting to CCPA
ERROR: logging before google.Init: I0826 07:18:46.146984       1 resolver.go:111] Model resolved via default
ERROR: logging before google.Init: I0826 07:18:46.147939     322 server.go:1485] Starting language server process with pid 324080
ERROR: logging before google.Init: I0826 07:18:46.150369     322 server.go:1538] Language server version: 1.1.21
ERROR: logging before google.Init: I0826 07:18:46.150419     322 server.go:582] Language server will attempt to listen on host localhost
ERROR: logging before google.Init: I0826 07:18:46.159025     322 server.go:597] Language server listening on random port at 35447 for HTTPS (gRPC)
ERROR: logging before google.Init: I0826 07:18:46.159250     322 server.go:605] Language server listening on random port at 32813 for HTTP
ERROR: logging before google.Init: E0826 07:18:46.578563     355 errorreport.go:223] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0826 07:18:46.578742     355 model_configs.go:62] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
ERROR: logging before google.Init: W0826 07:18:46.583382     370 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0826 07:18:46.583475     370 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0826 07:18:46.583622     370 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0826 07:18:46.583671     370 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0826 07:18:46.584598     322 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0826 07:18:46.584697     322 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0826 07:18:46.584876     322 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0826 07:18:46.584944     322 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0826 07:18:46.585090     322 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0826 07:18:46.585160     322 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0826 07:18:46.585264     322 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0826 07:18:46.585311     322 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0826 07:18:46.585870     322 launchmanager.go:69] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
ERROR: logging before google.Init: W0826 07:18:46.587088     322 defaults.go:771] failed to get cs path: cs path /usr/bin/cs invalid
ERROR: logging before google.Init: I0826 07:18:46.587165     322 manager.go:98] Creating trajectory store manager with proto store and SQLite store
ERROR: logging before google.Init: W0826 07:18:46.593528     322 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0826 07:18:46.593593     322 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0826 07:18:46.593696     322 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0826 07:18:46.593762     322 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0826 07:18:46.594585     403 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
ERROR: logging before google.Init: I0826 07:18:46.594667     403 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
ERROR: logging before google.Init: I0826 07:18:46.594716     403 manager.go:100] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
ERROR: logging before google.Init: I0826 07:18:46.594765     403 manager.go:91] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
ERROR: logging before google.Init: I0826 07:18:46.594809     403 manager.go:100] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] already has status MIGRATION_STATUS_COMPLETED, skipping
ERROR: logging before google.Init: I0826 07:18:46.594858     403 manager.go:91] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] is enabled
ERROR: logging before google.Init: I0826 07:18:46.594904     403 manager.go:100] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] already has status MIGRATION_STATUS_COMPLETED, skipping
ERROR: logging before google.Init: I0826 07:18:46.606961     322 server.go:2850] Auth succeeded, refreshing features and managers
ERROR: logging before google.Init: E0826 07:18:46.607072     322 errorreport.go:223] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0826 07:18:46.607156     322 server.go:2856] State refresh took 0ms
ERROR: logging before google.Init: I0826 07:18:46.607210     322 server.go:2870] [RemoteControl] Subscription callback triggered.
ERROR: logging before google.Init: I0826 07:18:46.607248     322 server.go:2872] [RemoteControl] RemoteControlEnabled value: false
ERROR: logging before google.Init: I0826 07:18:46.607277     322 server.go:3365] [RemoteControl] CLI launched without --remote-control, staying disconnected
ERROR: logging before google.Init: I0826 07:18:46.607308     322 server.go:3183] [RemoteControl] Resolved proxyServerURL: ""
ERROR: logging before google.Init: I0826 07:18:46.607374     322 profiler.go:174] Continuous pprof profiling is disabled.
ERROR: logging before google.Init: I0826 07:18:46.607521     406 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
ERROR: logging before google.Init: I0826 07:18:46.607681     406 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
ERROR: logging before google.Init: I0826 07:18:46.607799     406 manager.go:100] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
ERROR: logging before google.Init: I0826 07:18:46.607851     406 manager.go:91] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
ERROR: logging before google.Init: I0826 07:18:46.607791     322 server.go:2378] initialized server successfully in 459.570057ms
ERROR: logging before google.Init: I0826 07:18:46.607886     406 manager.go:100] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] already has status MIGRATION_STATUS_COMPLETED, skipping
ERROR: logging before google.Init: I0826 07:18:46.608004     406 manager.go:91] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] is enabled
ERROR: logging before google.Init: W0826 07:18:46.608048     409 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0826 07:18:46.608075     406 manager.go:100] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] already has status MIGRATION_STATUS_COMPLETED, skipping
ERROR: logging before google.Init: E0826 07:18:46.608137     409 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0826 07:18:46.608510     409 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0826 07:18:46.608617     409 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0826 07:18:46.619265       1 auto_updater.go:305] Spawned background update process with PID 324198
ERROR: logging before google.Init: I0826 07:18:46.620701       1 common.go:150] Launching CLI mode
ERROR: logging before google.Init: E0826 07:18:46.620762       1 launchsteps.go:84] Failed to resolve GeminiDir ".gemini": .gemini must be an absolute path: path is not absolute, falling back to default
ERROR: logging before google.Init: I0826 07:18:46.628481       1 common.go:172] CLI app data directory: /global/homes/j/josephrb/.gemini/antigravity-cli
ERROR: logging before google.Init: I0826 07:18:46.628541       1 server.go:272] Creating CLI server backend: product=antigravity workspaceDirs=[/pscratch/sd/j/josephrb/MINERvA-OmniFold /pscratch/sd/j/josephrb/MINERvA-OmniFold] appDataDir=/global/homes/j/josephrb/.gemini/antigravity-cli cascadeManager=true codeAssist=true
ERROR: logging before google.Init: I0826 07:18:46.628658       1 composite_token_storage.go:123] Using file-based token storage because SSH session detected
ERROR: logging before google.Init: I0826 07:18:46.628718       1 auth_provider.go:734] [AuthProvider] SetEnableBusinessLogin called with enable: true
ERROR: logging before google.Init: W0826 07:18:46.635349     434 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0826 07:18:46.635464     434 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0826 07:18:46.635660     434 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0826 07:18:46.635721     434 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
