bytes	mtime_date	path
192868793175	2026-06-10	nd-unfolding/runEventLoopOmniFold_5D_FPS_MEFHC_universes_full.root
171117093365	2026-07-14	nd-unfolding/runEventLoopOmniFold_5D_MEFHC_universes_full_bkgaware.root
171117087867	2026-07-08	2d-unfolding/runEventLoopOmniFold_MEFHC_universes_full.root
169974191800	2026-06-30	nd-unfolding/runEventLoopOmniFold_5D_MEFHC_universes_full.root
113496440965	2026-07-19	nd-unfolding/g2_fullevent/merged/runEventLoopOmniFold_G2_FPS_MEFHC.root
74819287018	2026-07-17	nd-unfolding/active_universe_5d/fps/merged/runEventLoopOmniFold_5D_FPS_active_Muon_Energy_MINOS_1_universes_full.root
74818153402	2026-07-17	nd-unfolding/active_universe_5d/fps/merged/runEventLoopOmniFold_5D_FPS_active_BeamAngleX_0_universes_full.root
74818145248	2026-07-17	nd-unfolding/active_universe_5d/fps/merged/runEventLoopOmniFold_5D_FPS_active_Muon_Energy_MINERvA_0_universes_full.root
74818122478	2026-07-17	nd-unfolding/active_universe_5d/fps/merged/runEventLoopOmniFold_5D_FPS_active_BeamAngleY_1_universes_full.root
74818095404	2026-07-17	nd-unfolding/active_universe_5d/fps/merged/runEventLoopOmniFold_5D_FPS_active_MuonResolution_1_universes_full.root
74818086014	2026-07-17	nd-unfolding/active_universe_5d/fps/merged/runEventLoopOmniFold_5D_FPS_active_MuonResolution_0_universes_full.root
74818042505	2026-07-17	nd-unfolding/active_universe_5d/fps/merged/runEventLoopOmniFold_5D_FPS_active_Muon_Energy_MINERvA_1_universes_full.root
74817988049	2026-07-17	nd-unfolding/active_universe_5d/fps/merged/runEventLoopOmniFold_5D_FPS_active_BeamAngleX_1_universes_full.root
74817977723	2026-07-17	nd-unfolding/active_universe_5d/fps/merged/runEventLoopOmniFold_5D_FPS_active_BeamAngleY_0_universes_full.root
74810853844	2026-07-17	nd-unfolding/active_universe_5d/fps/merged/runEventLoopOmniFold_5D_FPS_active_Muon_Energy_MINOS_0_universes_full.root
72651640496	2026-06-30	nd-unfolding/runEventLoopOmniFold_PC_FPS_MEFHC.root
53845919075	2026-07-18	nd-unfolding/active_universe_5d/standard/merged/runEventLoopOmniFold_5D_MEFHC_active_Muon_Energy_MINOS_1.root
53845911012	2026-07-18	nd-unfolding/active_universe_5d/standard/merged/runEventLoopOmniFold_5D_MEFHC_active_BeamAngleX_0.root
53845371537	2026-07-18	nd-unfolding/active_universe_5d/standard/merged/runEventLoopOmniFold_5D_MEFHC_active_BeamAngleY_1.root
53845291390	2026-07-18	nd-unfolding/active_universe_5d/standard/merged/runEventLoopOmniFold_5D_MEFHC_active_BeamAngleY_0.root
53845254183	2026-07-18	nd-unfolding/active_universe_5d/standard/merged/runEventLoopOmniFold_5D_MEFHC_active_Muon_Energy_MINERvA_0.root
53845210317	2026-07-18	nd-unfolding/active_universe_5d/standard/merged/runEventLoopOmniFold_5D_MEFHC_active_MuonResolution_1.root
53845199952	2026-07-18	nd-unfolding/active_universe_5d/standard/merged/runEventLoopOmniFold_5D_MEFHC_active_MuonResolution_0.root
53845155381	2026-07-18	nd-unfolding/active_universe_5d/standard/merged/runEventLoopOmniFold_5D_MEFHC_active_Muon_Energy_MINERvA_1.root
53844600453	2026-07-18	nd-unfolding/active_universe_5d/standard/merged/runEventLoopOmniFold_5D_MEFHC_active_BeamAngleX_1.root
53841190691	2026-07-18	nd-unfolding/active_universe_5d/standard/merged/runEventLoopOmniFold_5D_MEFHC_active_Muon_Energy_MINOS_0.root
51464282286	2026-06-29	nd-unfolding/runEventLoopOmniFold_PC_MEFHC_fullcloud.root
49215205065	2026-06-06	nd-unfolding/runEventLoopOmniFold_PC_MEFHC.root
42326583908	2026-08-09	nd-unfolding/active_universe_5d/standard/candidate/std_final5_candidate.root
41436632945	2026-07-14	nd-unfolding/uq_5d/universe_stage2_5d_bkgaware/uq_universe_5d_covariance_combined_bkgaware.root
40420225948	2026-07-14	nd-unfolding/uq_5d/universe_stage2_5d/uq_universe_5d_covariance_combined.root
30899666424	2026-07-08	2d-unfolding/runEventLoopOmniFold_1M_universes_full.root
30899506609	2026-07-14	nd-unfolding/runEventLoopOmniFold_5D_1M_universes_full_bkgaware.root
30691822531	2026-06-30	nd-unfolding/runEventLoopOmniFold_5D_1M_universes_full.root
24243358082	2026-07-08	2d-unfolding/runEventLoopOmniFold_1F_universes_full.root
24243323810	2026-07-14	nd-unfolding/runEventLoopOmniFold_5D_1F_universes_full_bkgaware.root
24083419846	2026-06-30	nd-unfolding/runEventLoopOmniFold_5D_1F_universes_full.root
20851499421	2026-07-08	2d-unfolding/runEventLoopOmniFold_1D_universes_full.root
20851460255	2026-07-14	nd-unfolding/runEventLoopOmniFold_5D_1D_universes_full_bkgaware.root
20714442298	2026-06-30	nd-unfolding/runEventLoopOmniFold_5D_1D_universes_full.root
20516264281	2026-07-14	nd-unfolding/runEventLoopOmniFold_5D_1G_universes_full_bkgaware.root
20516184032	2026-07-08	2d-unfolding/runEventLoopOmniFold_1G_universes_full.root
20382839130	2026-06-30	nd-unfolding/runEventLoopOmniFold_5D_1G_universes_full.root
20006739660	2026-07-20	nd-unfolding/p3f_pet_fullevent/final/runEventLoopOmniFold_P3F_PET_FE_Muon_Energy_MINOS_1_1M.root
20006539722	2026-07-20	nd-unfolding/p3f_pet_fullevent/final/runEventLoopOmniFold_P3F_PET_FE_BeamAngleX_0_1M.root
