bytes	mtime_epoch	mime	shape	category	lane	git_blob	blob_in_canonical	cited_in_canonical_records	inspection	path
2677339273	1786035059	application/octet-stream	BINARY	unknown pending inspection	5D UQ (B)				NOT RESOLVED -- see unresolved_largest_object	nd-unfolding/uq_5d/_archive_prehm_20260711/unified_throw_cov_5d.root.prehm
2344505	1786452669	text/plain	JSONL	receipt/manifest/provenance	orchestration	4d7cb646fe8d92088f747121bc3716b7fed0ee81	False			docs/orchestration/runs/standard-p4-verifier/20260811T124107Z-send-8202f78f.jsonl
1607486	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	70ff8980901581e6fc1ae583f5a50524b6bd7359	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINOS_1_1M/p3f_pet_validation_Muon_Energy_MINOS_1_1M.json.domain.json
1599414	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	c58ee8d864b18aeafa13b8c23fa684b0658627a7	False			nd-unfolding/p3f_pet_fullevent/work/MuonResolution_0_1M/p3f_pet_validation_MuonResolution_0_1M.json.domain.json
1594117	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	8a3d872f891f6a011d075d01098a13f09ccf9a8e	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleY_0_1M/p3f_pet_validation_BeamAngleY_0_1M.json.domain.json
1593797	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	040fdfdfca3301a1ce0e0b5f13581ef89997a4dd	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINERvA_0_1M/p3f_pet_validation_Muon_Energy_MINERvA_0_1M.json.domain.json
1593745	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	0b03955a0f6b6d0b5b4652c18e40a91bccbe9d61	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleY_1_1M/p3f_pet_validation_BeamAngleY_1_1M.json.domain.json
1593668	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	1d62e8bb2ba6e75023405e10cfbfa0cfbabe85a1	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINERvA_1_1M/p3f_pet_validation_Muon_Energy_MINERvA_1_1M.json.domain.json
1592611	1786035047	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	43d1cfe131b6f1183ad8de6664441cbf5a5fbab0	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleX_1_1M/p3f_pet_validation_BeamAngleX_1_1M.json.domain.json
1592507	1786035047	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	116922a6a204756a660288f54db66981ae400e25	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleX_0_1M/p3f_pet_validation_BeamAngleX_0_1M.json.domain.json
1589284	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	7a1529070f8ddb5f32dc2109defb7fe84a79b9c7	False			nd-unfolding/p3f_pet_fullevent/work/MuonResolution_1_1M/p3f_pet_validation_MuonResolution_1_1M.json.domain.json
1583851	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	f65907ade3c1413f65d779539374c1c7283f87fa	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINOS_0_1M/p3f_pet_validation_Muon_Energy_MINOS_0_1M.json.domain.json
1320681	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	508557e2c035ab0f3d75c8e948a24e1bfec6a040	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINOS_1_1F/p3f_pet_validation_Muon_Energy_MINOS_1_1F.json.domain.json
1310151	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	a5f1f746cc97e4fbf3acadb1ba6579ae7ec98255	False			nd-unfolding/p3f_pet_fullevent/work/MuonResolution_0_1F/p3f_pet_validation_MuonResolution_0_1F.json.domain.json
1305762	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	37b03699b98540bfac816c5fcfd8e8419ba98e62	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINERvA_1_1F/p3f_pet_validation_Muon_Energy_MINERvA_1_1F.json.domain.json
1304945	1786035047	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	2a14c21d9eeee8dd74583b5d4a6e1e8339d2b166	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleX_1_1F/p3f_pet_validation_BeamAngleX_1_1F.json.domain.json
1304932	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	53466ec95889bce80e6577ab69c24e86c3f08d0f	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleY_1_1F/p3f_pet_validation_BeamAngleY_1_1F.json.domain.json
1304563	1786035047	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	ad9a8069a63d69529b64a43950361dcb08888cce	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleX_0_1F/p3f_pet_validation_BeamAngleX_0_1F.json.domain.json
1304543	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	612461eb2a248657a0188903fb6b845dbdc9cad1	False			nd-unfolding/p3f_pet_fullevent/work/BeamAngleY_0_1F/p3f_pet_validation_BeamAngleY_0_1F.json.domain.json
1303306	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	e5ca786d54a9b73953f60133236edf0e75de45be	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINERvA_0_1F/p3f_pet_validation_Muon_Energy_MINERvA_0_1F.json.domain.json
1299380	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	b9a27ca32e5c3a0e961514f20326458d1e19c488	False			nd-unfolding/p3f_pet_fullevent/work/MuonResolution_1_1F/p3f_pet_validation_MuonResolution_1_1F.json.domain.json
1293297	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	606dbb3e4747110481eafcd92bff961446872bb8	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINOS_0_1F/p3f_pet_validation_Muon_Energy_MINOS_0_1F.json.domain.json
1088955	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	109c9d23c5e6932b970c9ff8fccf359d7e5dd541	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINOS_1_1D/p3f_pet_validation_Muon_Energy_MINOS_1_1D.json.domain.json
1082872	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	bbb233bd9393eb502d89b04310a825903e7b67b4	False			nd-unfolding/p3f_pet_fullevent/work/MuonResolution_0_1D/p3f_pet_validation_MuonResolution_0_1D.json.domain.json
1081399	1786035048	text/plain	TEXT	reproducible generated product/log/cache	PET (C)	6ce8e3a64972a1f099b7e493a8c01eb69d981cb9	False			nd-unfolding/p3f_pet_fullevent/work/Muon_Energy_MINERvA_1_1D/p3f_pet_validation_Muon_Energy_MINERvA_1_1D.json.domain.json
