== eavail_shape  cell: truth_ratio reco_ratio | unfold_ratio (from r2)
EW0   1.1757 1.1797 | 1.1911
EW1   1.1757 1.1638 | 1.1460
EW2   1.1756 1.1560 | 0.8635
EW3   1.1756 1.1659 | 0.8483
EW4   1.1753 1.1750 | 0.9548
EW5   1.1452 1.1779 | 1.1794
EW6   1.2728 1.1953 | 1.2307
EW7   1.2728 1.1591 | 1.1867
EW8   1.2728 1.0723 | 0.9044
EW9   1.2728 1.1135 | 0.8600
EW10  1.2728 1.1547 | 0.9617
EW11  1.2728 1.1785 | 1.1924
EW12  1.0630 1.0307 | 1.0897
EW13  1.0630 1.0301 | 1.0456
EW14  1.0630 0.9212 | 0.8776
EW15  1.0630 0.9607 | 0.8526
EW16  1.0630 1.0115 | 0.9516
EW17  1.0630 1.0341 | 1.1882
EW18  0.8405 0.8541 | 0.8968
EW19  0.8405 0.8748 | 0.8786
EW20  0.8405 0.8248 | 0.8198
EW21  0.8405 0.8466 | 0.8353
EW22  0.8405 0.9030 | 0.9835
EW23  0.8405 0.8954 | 1.2119
EW24  0.6972 0.8458 | 0.8190
EW25  0.6972 0.8099 | 0.7880
EW26  0.6972 0.7939 | 0.7704
EW27  0.6972 0.8467 | 0.7914
EW28  0.6972 0.9513 | 0.9885
EW29  0.6972 0.9549 | 1.2111
EW30  0.9064 1.0620 | 0.8798
EW31  0.9064 1.0288 | 0.8546
EW32  0.9064 0.9894 | 0.8432
EW33  0.9064 0.9548 | 0.8755
EW34  0.9064 1.0678 | 0.9971
EW35  0.9064 1.1720 | 1.2171
EW36  1.3332 1.2852 | 1.2038
EW37  1.3332 1.2856 | 1.1822
EW38  1.3332 1.2845 | 1.1596
EW39  1.3332 1.2783 | 1.1311
EW40  1.3332 1.2684 | 1.1851
EW41  1.3332 1.2960 | 1.3079
== q3_given_eavail_w  cell: truth_ratio reco_ratio | unfold_ratio (from r2)
EW0   1.0000 0.9381 | 0.9598
EW1   1.0000 0.8924 | 0.9861
EW2   1.0000 0.9465 | 1.0706
EW3   1.0000 0.9382 | 1.0331
EW4   1.0000 0.9263 | 1.0410
EW5   1.0000 0.9212 | 1.0177
EW6   1.0000 0.9961 | 0.9941
EW7   1.0000 0.8346 | 0.8595
EW8   1.0000 0.9363 | 0.9495
EW9   1.0000 0.9447 | 0.9683
EW10  1.0000 0.9368 | 0.9767
EW11  1.0000 0.9294 | 0.9673
EW12  1.0000 1.1010 | 1.0897
EW13  1.0000 0.8957 | 0.8859
EW14  1.0000 0.8968 | 0.9145
EW15  1.0000 0.9417 | 0.9628
EW16  1.0000 0.9411 | 0.9659
EW17  1.0000 0.9363 | 0.9619
EW18  1.0000 1.1837 | 1.2059
EW19  1.0000 1.0264 | 1.0137
EW20  1.0000 0.8894 | 0.8878
EW21  1.0000 0.9225 | 0.9509
EW22  1.0000 0.9447 | 0.9634
EW23  1.0000 0.9405 | 0.9580
EW24  1.0000 1.1932 | 1.3038
EW25  1.0000 1.2094 | 1.2198
EW26  1.0000 1.0228 | 0.9790
EW27  1.0000 0.9069 | 0.9062
EW28  1.0000 0.9331 | 0.9624
EW29  1.0000 0.9495 | 0.9539
EW30  1.0000 1.1664 | 1.3576
EW31  1.0000 1.2297 | 1.3320
EW32  1.0000 1.2313 | 1.2159
EW33  1.0000 1.0650 | 1.0028
EW34  1.0000 0.9708 | 0.9447
EW35  1.0000 0.9476 | 0.9521
EW36  1.0000 1.1581 | 1.3776
EW37  1.0000 1.1921 | 1.3695
EW38  1.0000 1.2073 | 1.3606
EW39  1.0000 1.2283 | 1.2606
EW40  1.0000 1.0987 | 1.0425
EW41  1.0000 1.0532 | 1.0590
