pt_low,pt_high,paper_pt_low,paper_pt_high,pz_low,pz_high,reported,ours,published,ratio
0.0,0.07,0.0,0.075,1.5,2.0,True,1.3129810794695595e-40,9.834714867785636e-41,1.3350474285434852
0.0,0.07,0.0,0.075,2.0,2.5,True,1.4714150671980212e-40,1.6445219418133859e-40,0.8947372666706516
0.0,0.07,0.0,0.075,2.5,3.0,True,1.753401105830438e-40,1.954470405082367e-40,0.8971233850719498
0.0,0.07,0.0,0.075,3.0,3.5,True,1.7512721066711664e-40,1.7630261058551441e-40,0.9933330543745542
0.0,0.07,0.0,0.075,3.5,4.0,True,1.8283491506781494e-40,1.890527274041388e-40,0.9671106975196818
0.0,0.07,0.0,0.075,4.0,4.5,True,1.9326443763629157e-40,1.942225188979823e-40,0.9950670948604371
0.0,0.07,0.0,0.075,4.5,5.0,True,1.882193673819759e-40,2.010884872102275e-40,0.936002702060225
0.0,0.07,0.0,0.075,5.0,6.0,True,1.794835029092123e-40,1.864875297694273e-40,0.9624423849204566
0.0,0.07,0.0,0.075,6.0,7.0,True,1.3587251037181245e-40,1.3986184856252895e-40,0.9714765804133286
0.0,0.07,0.0,0.075,7.0,8.0,True,7.534989745878051e-41,7.144108214614681e-41,1.0547138312468092
0.0,0.07,0.0,0.075,8.0,9.0,True,3.678857302139159e-41,3.563636580208103e-41,1.0323323434749139
0.0,0.07,0.0,0.075,9.0,10.0,True,1.74053182744877e-41,1.6716027699087347e-41,1.0412353094771425
0.0,0.07,0.0,0.075,10.0,15.0,True,6.923128026072348e-42,6.641699693348083e-42,1.0423729385124303
0.0,0.07,0.0,0.075,15.0,20.0,True,3.0114053195267754e-42,3.379798366497092e-42,0.8910014719747533
0.0,0.07,0.0,0.075,20.0,40.0,True,8.309043724484915e-43,8.659482386435614e-43,0.959531222963207
0.0,0.07,0.0,0.075,40.0,60.0,True,1.2335877747498413e-43,1.9139603114682792e-43,0.6445210840362224
0.07,0.15,0.075,0.15,1.5,2.0,True,5.1283521715409916e-40,4.767863552933489e-40,1.075607998132771
0.07,0.15,0.075,0.15,2.0,2.5,True,5.6421073951077825e-40,5.9649578477819245e-40,0.9458754846366275
0.07,0.15,0.075,0.15,2.5,3.0,True,6.595096494518989e-40,6.579419798908028e-40,1.0023826866334875
0.07,0.15,0.075,0.15,3.0,3.5,True,6.872875872191833e-40,7.0047765764093746e-40,0.9811698913193384
0.07,0.15,0.075,0.15,3.5,4.0,True,7.22584232913068e-40,7.135801415425931e-40,1.0126181921921342
0.07,0.15,0.075,0.15,4.0,4.5,True,7.475693133243396e-40,7.260074664309884e-40,1.0296992081904446
0.07,0.15,0.075,0.15,4.5,5.0,True,7.40902193829261e-40,7.6395674739882e-40,0.969822174294478
0.07,0.15,0.075,0.15,5.0,6.0,True,6.792765227120519e-40,6.877848690055847e-40,0.9876293494129431
0.07,0.15,0.075,0.15,6.0,7.0,True,5.118735194730164e-40,5.01648309302148e-40,1.020383224624225
0.07,0.15,0.075,0.15,7.0,8.0,True,2.8966355138607283e-40,2.9819696508869934e-40,0.9713832979484274
0.07,0.15,0.075,0.15,8.0,9.0,True,1.416496654891305e-40,1.4268238053542134e-40,0.9927621403398547
0.07,0.15,0.075,0.15,9.0,10.0,True,6.754593753886327e-41,6.483693128871568e-41,1.0417818393977425
0.07,0.15,0.075,0.15,10.0,15.0,True,2.1508012089410384e-41,2.2904559504182665e-41,0.939027536656304
0.07,0.15,0.075,0.15,15.0,20.0,True,7.466560735902297e-42,8.657197885029853e-42,0.8624685302404347
0.07,0.15,0.075,0.15,20.0,40.0,True,2.097668980447108e-42,2.2671265581578613e-42,0.9252544693188874
0.07,0.15,0.075,0.15,40.0,60.0,True,3.805640789914615e-43,4.8283174759158046e-43,0.7881919134144727
0.15,0.25,0.15,0.25,1.5,2.0,True,1.4480457784608763e-39,1.3667515730559688e-39,1.059479869646785
0.15,0.25,0.15,0.25,2.0,2.5,True,1.4358395342424946e-39,1.5874518934508032e-39,0.9044932575066993
0.15,0.25,0.15,0.25,2.5,3.0,True,1.5703021647250972e-39,1.635276208761608e-39,0.960267235780483
0.15,0.25,0.15,0.25,3.0,3.5,True,1.650419301696979e-39,1.690238615343117e-39,0.9764416022183622
0.15,0.25,0.15,0.25,3.5,4.0,True,1.7034693083978365e-39,1.7356382249973776e-39,0.9814656556094288
0.15,0.25,0.15,0.25,4.0,4.5,True,1.7721767111307142e-39,1.6991380806891205e-39,1.0429856944951592
0.15,0.25,0.15,0.25,4.5,5.0,True,1.77009659107243e-39,1.7139798964452193e-39,1.0327405792469306
0.15,0.25,0.15,0.25,5.0,6.0,True,1.5873397270812395e-39,1.576712257310349e-39,1.006740272184488
0.15,0.25,0.15,0.25,6.0,7.0,True,1.1840487535442802e-39,1.1128100934338048e-39,1.0640169068656216
0.15,0.25,0.15,0.25,7.0,8.0,True,6.664652638592086e-40,6.6362495608446366e-40,1.0042799893956722
0.15,0.25,0.15,0.25,8.0,9.0,True,3.2626236406894224e-40,3.2436075812150937e-40,1.005862626411548
0.15,0.25,0.15,0.25,9.0,10.0,True,1.6019894712036102e-40,1.5156136318870866e-40,1.0569906719623372
0.15,0.25,0.15,0.25,10.0,15.0,True,5.138671580342588e-41,5.287006335494665e-41,0.9719435261205908
0.15,0.25,0.15,0.25,15.0,20.0,True,1.839111261286647e-41,1.9098261253930188e-41,0.9629731402423769
0.15,0.25,0.15,0.25,20.0,40.0,True,4.704541404767325e-42,4.460904106602148e-42,1.0546161254182966
0.15,0.25,0.15,0.25,40.0,60.0,True,7.886368626585024e-43,8.209574895432e-43,0.960630571867148
0.25,0.33,0.25,0.325,1.5,2.0,True,2.8871910004547684e-39,2.7025398013619246e-39,1.0683250618547007
0.25,0.33,0.25,0.325,2.0,2.5,True,2.7879287197303338e-39,2.87457773748951e-39,0.9698567839619985
0.25,0.33,0.25,0.325,2.5,3.0,True,2.897035294881845e-39,2.8745075020417527e-39,1.007837096554485
0.25,0.33,0.25,0.325,3.0,3.5,True,2.9667394137768045e-39,2.8954005083076033e-39,1.0246387003333435
0.25,0.33,0.25,0.325,3.5,4.0,True,3.001730659606841e-39,2.9034022268174013e-39,1.0338666244315806
0.25,0.33,0.25,0.325,4.0,4.5,True,3.049852080996797e-39,2.9619783324120923e-39,1.02966724895423
0.25,0.33,0.25,0.325,4.5,5.0,True,2.9883838136304284e-39,2.9150994768693747e-39,1.0251395663655898
0.25,0.33,0.25,0.325,5.0,6.0,True,2.6398011323593393e-39,2.625841207617351e-39,1.0053163628864883
0.25,0.33,0.25,0.325,6.0,7.0,True,1.9269718578368228e-39,1.8654006133828085e-39,1.033006981992119
0.25,0.33,0.25,0.325,7.0,8.0,True,1.077761390598268e-39,1.051658890780273e-39,1.024820310127962
0.25,0.33,0.25,0.325,8.0,9.0,True,5.273701886907088e-40,5.2260329599936275e-40,1.0091214363319896
0.25,0.33,0.25,0.325,9.0,10.0,True,2.6068409953037366e-40,2.5232721384608327e-40,1.0331192405167522
0.25,0.33,0.25,0.325,10.0,15.0,True,8.502884166758501e-41,8.558119140644258e-41,0.9935458979972089
0.25,0.33,0.25,0.325,15.0,20.0,True,3.046639588119773e-41,3.224863815798171e-41,0.9447343398486158
0.25,0.33,0.25,0.325,20.0,40.0,True,8.217136260303994e-42,7.642194596257442e-42,1.0752325339017295
0.25,0.33,0.25,0.325,40.0,60.0,True,1.3056099687212251e-42,1.237224053359779e-42,1.0552736710668846
0.33,0.4,0.325,0.4,1.5,2.0,True,4.2559804097459096e-39,3.858946133991172e-39,1.1028867110264893
0.33,0.4,0.325,0.4,2.0,2.5,True,4.1369917744372776e-39,4.1014279656173037e-39,1.008671079711288
0.33,0.4,0.325,0.4,2.5,3.0,True,4.171536149038042e-39,4.1813822522840195e-39,0.9976452515814359
0.33,0.4,0.325,0.4,3.0,3.5,True,4.183232474385861e-39,4.277284576878306e-39,0.9780112590588754
0.33,0.4,0.325,0.4,3.5,4.0,True,4.15405863026683e-39,4.043569697858575e-39,1.0273246019394122
0.33,0.4,0.325,0.4,4.0,4.5,True,4.16678859590832e-39,4.0841223612951395e-39,1.0202408809776613
0.33,0.4,0.325,0.4,4.5,5.0,True,4.057727516340011e-39,4.026545816361162e-39,1.0077440320813307
0.33,0.4,0.325,0.4,5.0,6.0,True,3.551760360765009e-39,3.4975819394689826e-39,1.0154902507600014
0.33,0.4,0.325,0.4,6.0,7.0,True,2.5554639855503013e-39,2.4343359335851712e-39,1.0497581497664288
0.33,0.4,0.325,0.4,7.0,8.0,True,1.4004804652533069e-39,1.3748076584261799e-39,1.0186737444105571
0.33,0.4,0.325,0.4,8.0,9.0,True,6.869659550951109e-40,6.866410092474981e-40,1.000473239790861
0.33,0.4,0.325,0.4,9.0,10.0,True,3.3552134027344033e-40,3.350441693275992e-40,1.0014242031037244
0.33,0.4,0.325,0.4,10.0,15.0,True,1.14184243917508e-40,1.1202288642253682e-40,1.0192938922035877
0.33,0.4,0.325,0.4,15.0,20.0,True,4.05998191323329e-41,4.210665928641038e-41,0.9642137329435726
0.33,0.4,0.325,0.4,20.0,40.0,True,1.1100946915792157e-41,1.0513588492753379e-41,1.0558665981119217
0.33,0.4,0.325,0.4,40.0,60.0,True,1.820070730581388e-42,1.787126045617616e-42,1.018434449570336
0.4,0.47,0.4,0.475,1.5,2.0,True,5.795394880295645e-39,5.245300533630818e-39,1.1048737518732887
0.4,0.47,0.4,0.475,2.0,2.5,True,5.479511661145392e-39,5.489231755627395e-39,0.998229243195637
0.4,0.47,0.4,0.475,2.5,3.0,True,5.3926865223099754e-39,5.3797335790041814e-39,1.0024077295121725
0.4,0.47,0.4,0.475,3.0,3.5,True,5.2832832642111486e-39,5.3349932915086016e-39,0.9903073866316277
0.4,0.47,0.4,0.475,3.5,4.0,True,5.165949845209752e-39,5.093389189168586e-39,1.0142460458736338
0.4,0.47,0.4,0.475,4.0,4.5,True,5.140452606760664e-39,5.019148677534755e-39,1.024168227924559
0.4,0.47,0.4,0.475,4.5,5.0,True,4.899248689766427e-39,4.9537608738635544e-39,0.9889957982459876
0.4,0.47,0.4,0.475,5.0,6.0,True,4.2433891677259476e-39,4.2076186734611605e-39,1.0085013631321686
0.4,0.47,0.4,0.475,6.0,7.0,True,2.9712049610568725e-39,2.891539846544361e-39,1.0275511038202423
0.4,0.47,0.4,0.475,7.0,8.0,True,1.6184973273350643e-39,1.5844051807175434e-39,1.0215173157929724
0.4,0.47,0.4,0.475,8.0,9.0,True,7.849335166455716e-40,7.744578268258174e-40,1.0135264819553695
0.4,0.47,0.4,0.475,9.0,10.0,True,3.959668444842261e-40,4.059630185021528e-40,0.9753766388504826
0.4,0.47,0.4,0.475,10.0,15.0,True,1.3726765908382168e-40,1.3914713814290906e-40,0.9864928658672298
0.4,0.47,0.4,0.475,15.0,20.0,True,4.995602427363432e-41,5.19349607242378e-41,0.9618958708544875
0.4,0.47,0.4,0.475,20.0,40.0,True,1.3417895378227307e-41,1.3186474602122235e-41,1.0175498594649268
0.4,0.47,0.4,0.475,40.0,60.0,True,2.262853048432588e-42,2.1989289228794477e-42,1.0290705738089219
0.47,0.55,0.475,0.55,1.5,2.0,True,7.154386591841888e-39,6.790917434381533e-39,1.0535228356068884
0.47,0.55,0.475,0.55,2.0,2.5,True,6.713970103845824e-39,6.596892940807278e-39,1.0177473189407586
0.47,0.55,0.475,0.55,2.5,3.0,True,6.498609780573206e-39,6.417476185360078e-39,1.0126426016816727
0.47,0.55,0.475,0.55,3.0,3.5,True,6.269808005561425e-39,6.282757139225795e-39,0.9979389409175912
0.47,0.55,0.475,0.55,3.5,4.0,True,6.05361824531951e-39,5.950904901065352e-39,1.017260121941416
0.47,0.55,0.475,0.55,4.0,4.5,True,5.908646951679283e-39,5.955183297460663e-39,0.9921855728939152
0.47,0.55,0.475,0.55,4.5,5.0,True,5.577316747886047e-39,5.66966190833116e-39,0.9837124043835103
0.47,0.55,0.475,0.55,5.0,6.0,True,4.719361226864202e-39,4.726596038437552e-39,0.99846933998283
0.47,0.55,0.475,0.55,6.0,7.0,True,3.215621809282216e-39,3.116738085560176e-39,1.0317266709641622
0.47,0.55,0.475,0.55,7.0,8.0,True,1.7140741299895165e-39,1.7533058937148574e-39,0.9776241191762507
0.47,0.55,0.475,0.55,8.0,9.0,True,8.280845827227e-40,8.442481403925888e-40,0.9808544941983852
0.47,0.55,0.475,0.55,9.0,10.0,True,4.274187599677594e-40,4.299872227188589e-40,0.9940266533157455
0.47,0.55,0.475,0.55,10.0,15.0,True,1.5331616604225133e-40,1.599049229680822e-40,0.9587957843727799
0.47,0.55,0.475,0.55,15.0,20.0,True,5.717580594686695e-41,6.10887138299102e-41,0.9359471228361758
0.47,0.55,0.475,0.55,20.0,40.0,True,1.5532420321852692e-41,1.5527463449473043e-41,1.0003192325904213
0.47,0.55,0.475,0.55,40.0,60.0,True,2.5788832891599953e-42,2.3972432925968284e-42,1.0757703638692442
0.55,0.7,0.55,0.7,1.5,2.0,True,4.528294694441763e-39,4.6099329336166874e-39,0.9822907967750248
0.55,0.7,0.55,0.7,2.0,2.5,True,8.230537925726589e-39,7.892283286300577e-39,1.0428589075119938
0.55,0.7,0.55,0.7,2.5,3.0,True,7.78644896107098e-39,7.498327992385375e-39,1.0384246953425076
0.55,0.7,0.55,0.7,3.0,3.5,True,7.365757814567808e-39,7.37487948630118e-39,0.998763142943513
0.55,0.7,0.55,0.7,3.5,4.0,True,6.953855117177678e-39,6.859547207735032e-39,1.0137484161252366
0.55,0.7,0.55,0.7,4.0,4.5,True,6.618664049793701e-39,6.524151888664105e-39,1.014486505333178
0.55,0.7,0.55,0.7,4.5,5.0,True,6.097275306569321e-39,6.2330795036339e-39,0.9782123431948196
0.55,0.7,0.55,0.7,5.0,6.0,True,4.939099785129435e-39,4.9734194199755384e-39,0.9930993885799657
0.55,0.7,0.55,0.7,6.0,7.0,True,3.1977964291284356e-39,3.179186571585549e-39,1.0058536537959788
0.55,0.7,0.55,0.7,7.0,8.0,True,1.6655013916260343e-39,1.703056548121371e-39,0.97794837961384
0.55,0.7,0.55,0.7,8.0,9.0,True,8.163016944690684e-40,8.463144774148868e-40,0.9645370796001339
0.55,0.7,0.55,0.7,9.0,10.0,True,4.368957204864947e-40,4.4294435034498236e-40,0.9863444925896971
0.55,0.7,0.55,0.7,10.0,15.0,True,1.6936728466173022e-40,1.737507559754498e-40,0.9747714978901217
0.55,0.7,0.55,0.7,15.0,20.0,True,6.560362136764386e-41,6.901107710726616e-41,0.9506245101155865
0.55,0.7,0.55,0.7,20.0,40.0,True,1.7937455591895982e-41,1.7709316336531843e-41,1.0128824428356684
0.55,0.7,0.55,0.7,40.0,60.0,True,2.9604447884173935e-42,2.7873957098089323e-42,1.0620827096775303
