JobID|State|Start|End|ElapsedRaw|AllocCPUS|ExitCode|MaxRSS|TotalCPU
58198332|FAILED|2026-09-11T07:38:25|2026-09-11T07:39:44|79|32|1:0||00:31.872
58198332.batch|FAILED|2026-09-11T07:38:25|2026-09-11T07:39:44|79|32|1:0|1031876K|00:31.872
58198332.extern|COMPLETED|2026-09-11T07:38:25|2026-09-11T07:39:44|79|32|0:0||00:00:00
58201775|FAILED|2026-09-11T11:01:49|2026-09-11T11:03:40|111|32|1:0||01:13.212
58201775.batch|FAILED|2026-09-11T11:01:49|2026-09-11T11:03:40|111|32|1:0|1371956K|01:13.212
58201775.extern|COMPLETED|2026-09-11T11:01:49|2026-09-11T11:03:43|114|32|0:0||00:00:00
58240587|FAILED|2026-09-12T09:48:06|2026-09-12T09:49:41|95|32|1:0||00:42.499
58240587.batch|FAILED|2026-09-12T09:48:06|2026-09-12T09:49:41|95|32|1:0|1258016K|00:42.499
58240587.extern|COMPLETED|2026-09-12T09:48:06|2026-09-12T09:49:43|97|32|0:0||00:00:00
58277208|COMPLETED|2026-09-13T14:47:49|2026-09-13T14:49:34|105|32|0:0||01:04.239
58277208.batch|COMPLETED|2026-09-13T14:47:49|2026-09-13T14:49:34|105|32|0:0|1093600K|01:04.239
58277208.extern|COMPLETED|2026-09-13T14:47:49|2026-09-13T14:49:34|105|32|0:0||00:00:00
58301971|FAILED|2026-09-14T04:20:37|2026-09-14T04:22:45|128|32|1:0||01:09.555
58301971.batch|FAILED|2026-09-14T04:20:37|2026-09-14T04:22:45|128|32|1:0|1513424K|01:09.555
58301971.extern|COMPLETED|2026-09-14T04:20:37|2026-09-14T04:22:45|128|32|0:0||00:00:00
5de944f8141abb72e56518abaf18a5622fa62028
