job	name	qos	partition	state	submit	start	end	elapsed_h	gpus	billing	gpu_hours	cpu_node_hours	account
58879530	pfd-task	debug	regular_milan_ss11	COMPLETED	2026-09-25T14:57:57	2026-09-25T14:58:02	2026-09-25T14:59:44	0.0283	0.0	256.0	0.0	0.0283	m3246
58879616	pfd-task	debug	regular_milan_ss11	COMPLETED	2026-09-25T15:01:10	2026-09-25T15:01:16	2026-09-25T15:06:11	0.0819	0.0	256.0	0.0	0.0819	m3246
58879830	pfd-task	debug	regular_milan_ss11	COMPLETED	2026-09-25T15:08:44	2026-09-25T15:08:49	2026-09-25T15:13:59	0.0861	0.0	256.0	0.0	0.0861	m3246
58880230	pfd-chain	gpu_debug	gpu_ss11	FAILED	2026-09-25T15:22:16	2026-09-25T15:25:23	2026-09-25T15:25:56	0.0092	4.0	128.0	0.0367	0.0	m3246_g
58880231	pfd-chain	gpu_debug	gpu_ss11	FAILED	2026-09-25T15:22:19	2026-09-25T15:25:25	2026-09-25T15:25:58	0.0092	4.0	128.0	0.0367	0.0	m3246_g
58880239	pfd-inter	gpu_interactive	urgent_gpu_ss11	FAILED	2026-09-25T15:22:36	2026-09-25T15:22:36	2026-09-25T15:23:27	0.0142	4.0	128.0	0.0567	0.0	m3246_g
58880337	pfd-chain	gpu_debug	gpu_ss11	COMPLETED	2026-09-25T15:26:20	2026-09-25T15:27:35	2026-09-25T15:42:54	0.2553	4.0	128.0	1.0211	0.0	m3246_g
58880338	pfd-chain	gpu_debug	gpu_ss11	COMPLETED	2026-09-25T15:26:22	2026-09-25T15:27:35	2026-09-25T15:42:59	0.2567	4.0	128.0	1.0267	0.0	m3246_g
58880339	pfd-inter	gpu_interactive	urgent_gpu_ss11	COMPLETED	2026-09-25T15:26:24	2026-09-25T15:26:24	2026-09-25T19:13:38	3.7872	4.0	128.0	15.1489	0.0	m3246_g
58880357	pfd-chain	gpu_debug	gpu_ss11	COMPLETED	2026-09-25T15:27:45	2026-09-25T15:51:47	2026-09-25T16:07:25	0.2606	4.0	128.0	1.0422	0.0	m3246_g
58880358	pfd-chain	gpu_debug	gpu_ss11	COMPLETED	2026-09-25T15:27:45	2026-09-25T15:53:46	2026-09-25T16:09:15	0.2581	4.0	128.0	1.0322	0.0	m3246_g
58880409	pfd-shared	gpu_shared	shared_gpu_ss11	CANCELLED by 112498	2026-09-25T15:29:12	None	2026-09-25T19:35:48	0.0	0.0	0.0	0.0	0.0	m3246_g
58880410	pfd-shared	gpu_shared	shared_gpu_ss11	CANCELLED by 112498	2026-09-25T15:29:14	None	2026-09-25T19:35:48	0.0	0.0	0.0	0.0	0.0	m3246_g
