# name	config	config_hash	selection	distortion	reference_run	extra_driver_args
S3P-H2S1K5-DEV0	../../../final_design/configs/S3P/S3P-H2S1K5-DEV0.json	81cef448e269ce59393f568a1dc46e287ff4e939fe762af7d39b07daa90ec37d	BANK:DEV:S3P:0	dev	-	--step2-miss-mode efficiency_corrected
S3P-L128S1K5-DEV0	../../../final_design/configs/S3P/S3P-L128S1K5-DEV0.json	c8522d096ee467b539e61783b9618a039cc00c634549502d8a90c57100a3c80f	BANK:DEV:S3P:0	dev	-	--step2-miss-mode efficiency_corrected
S3P-H2S1K5-DEV1	../../../final_design/configs/S3P/S3P-H2S1K5-DEV1.json	275af930103a9a2a8ee6359ed2d2e4458ce6ae38b47852158b04f122c391c418	BANK:DEV:S3P:1	dev	-	--step2-miss-mode efficiency_corrected
S3P-L128S1K5-DEV1	../../../final_design/configs/S3P/S3P-L128S1K5-DEV1.json	8dbcbec27dd4bd306d5cb47478f6ea9cad851d85f83af2ad8fb3b7fd8d7f8a2e	BANK:DEV:S3P:1	dev	-	--step2-miss-mode efficiency_corrected
S3P-H2S1K5-DEV2	../../../final_design/configs/S3P/S3P-H2S1K5-DEV2.json	223ef437b621924e7906c2be59d19f0680618631547cab8a18e72be513e3f204	BANK:DEV:S3P:2	dev	-	--step2-miss-mode efficiency_corrected
S3P-L128S1K5-DEV2	../../../final_design/configs/S3P/S3P-L128S1K5-DEV2.json	c10dff575e339973f355e1a0e0240f2f226050a4fe88ebcbfc8a4cc6f69b6a2a	BANK:DEV:S3P:2	dev	-	--step2-miss-mode efficiency_corrected
S3P-H2S1K5-DEV3	../../../final_design/configs/S3P/S3P-H2S1K5-DEV3.json	dbe5def778685eaccbdc8e0ae2fecd246a5688817e4e5cbea91c3234643d69ec	BANK:DEV:S3P:3	dev	-	--step2-miss-mode efficiency_corrected
S3P-L128S1K5-DEV3	../../../final_design/configs/S3P/S3P-L128S1K5-DEV3.json	281d2984cd82594356c3786c7c632899e17dc90075989a6234ebc7f43a97ebc9	BANK:DEV:S3P:3	dev	-	--step2-miss-mode efficiency_corrected
S3P-H2S1K5-DEV0-D1_m0.350	../../../final_design/configs/S3P/S3P-H2S1K5-DEV0-D1_m0.350.json	a1cdfc0ece9d821ea318faac0da067f7204ce238433b61e071f2264f1b31d3f5	BANK:DEV:S3P:0	D1_m0.350	-	--step2-miss-mode efficiency_corrected
S3P-L128S1K5-DEV0-D1_m0.350	../../../final_design/configs/S3P/S3P-L128S1K5-DEV0-D1_m0.350.json	bf4b82d67f9e6cd6890bbea85398a04d6c099119372484b1f607130710e436e6	BANK:DEV:S3P:0	D1_m0.350	-	--step2-miss-mode efficiency_corrected
S3P-H2S1K5-DEV1-D1_m0.350	../../../final_design/configs/S3P/S3P-H2S1K5-DEV1-D1_m0.350.json	8184c404f83371c78d12828f45cb015398252ba6b937bc4dfb337cb799028dd2	BANK:DEV:S3P:1	D1_m0.350	-	--step2-miss-mode efficiency_corrected
S3P-L128S1K5-DEV1-D1_m0.350	../../../final_design/configs/S3P/S3P-L128S1K5-DEV1-D1_m0.350.json	35bf2e7fc14d45a391a089c1b4ce9a731d6b186027bb7dc2a6f68d15dae298f0	BANK:DEV:S3P:1	D1_m0.350	-	--step2-miss-mode efficiency_corrected
