date_utc	phase	slurm_job	account	partition_qos	nodes	gpus	elapsed_s	gpu_hours	cpu_core_hours	state	purpose	source
2026-09-23T10:59:45Z	V1	58786043	m3246	regular_milan_ss11/debug	1	0	418	0.000	29.724	FAILED	CPU check: real-inventory input path, forced-halves crosscheck, pool-S inputs + target; FAILED only on pytest fixture import order	confirm/resources-V1.tsv
2026-09-23T11:11:13Z	V1	58786058	m3246_g	gpu_ss11/gpu_debug	1	4	1012	1.124	35.982	COMPLETED	chain round 1 (gpu_debug, race winner): control k=1, mechanics k=1	confirm/resources-V1.tsv
	V1	58786061	m3246_g	gpu_ss11/gpu_preempt	1	0	0	0.000	0.000	CANCELLED	race copy (gpu_preempt), cancelled unstarted by the winner	confirm/resources-V1.tsv
2026-09-23T11:09:53Z	V1	58786149	m3246	regular_milan_ss11/debug	1	0	80	0.000	5.689	COMPLETED	CPU pytest at 75e4b5cf: 30 passed	confirm/resources-V1.tsv
2026-09-23T11:52:02Z	V1	58786334	m3246_g	gpu_ss11/gpu_debug	1	4	1004	1.116	35.698	COMPLETED	chain round 2: control k=2, mechanics k=2	confirm/resources-V1.tsv
2026-09-23T12:26:04Z	V1	58786713	m3246_g	gpu_ss11/gpu_debug	1	4	966	1.073	34.347	COMPLETED	chain round 3: control k=3 + scoring	confirm/resources-V1.tsv
2026-09-22	phaseA1	58741064	m3246_g	gpu_debug	1	4	32	0.0356	0.000	FAILED	earlier delegate: runtime audit at 506d26de, refused by the guard on an lscpu launch (numpy.testing SVE probe)	phase_a/resources-A1.tsv
2026-09-22	phaseA1	58741294	m3246_g	gpu_debug	1	4	45	0.0500	0.000	FAILED	earlier delegate: runtime audit at 506d26de, refused by the guard (OI-136 import of atomic_write from the hardcoded tree)	phase_a/resources-A1.tsv
2026-09-22	phaseA1	58741303	m3246_g	gpu_shared	1	1	0	0.0000	0.000	CANCELLED	earlier delegate: placeholder test_run.py (imported a nonexistent module); cancelled while pending	phase_a/resources-A1.tsv
2026-09-22	phaseA1	58741897	m3246	shared	1	0	0	0.0000	0.000	CANCELLED	prematerialize tiny cache; moved to debug QOS before starting	phase_a/resources-A1.tsv
2026-09-22	phaseA1	58741898	m3246_g	gpu_debug	1	1	0	0.0000	0.000	CANCELLED	runtime audit; dependency cancelled before start	phase_a/resources-A1.tsv
2026-09-22	phaseA1	58742006	m3246	shared	1	0	0	0.0000	0.000	CANCELLED	build check; moved to debug QOS before starting	phase_a/resources-A1.tsv
2026-09-22	phaseA1	58742046	m3246	debug	1	0	105	0.0000	3.733	FAILED	prematerialize tiny cache; guard refused lscpu (numpy.testing SVE probe) -> harness fix numpy_probe.py	phase_a/resources-A1.tsv
2026-09-22	phaseA1	58742047	m3246_g	gpu_debug	1	1	0	0.0000	0.000	CANCELLED	runtime audit; dependency never satisfied	phase_a/resources-A1.tsv
2026-09-22	phaseA1	58742048	m3246	debug	1	0	38	0.0000	1.351	COMPLETED	declared-differences check (rebuild one MC shard, branch availability)	phase_a/resources-A1.tsv
2026-09-22	phaseA1	58742194	m3246	debug	1	0	884	0.0000	31.431	COMPLETED	prematerialize his tokens for the tiny audit subsample (historical prematerialize_theirs, 100k events, tuning stage)	phase_a/resources-A1.tsv
2026-09-22	phaseA1	58742195	m3246_g	gpu_debug	1	4	619	0.6878	0.000	COMPLETED	level-1 runtime audit of the historical driver, both arms, 3 iterations x 8 epochs, 100k-event subsample	phase_a/resources-A1.tsv
2026-09-22	phaseA1	58748390	m3246	debug	1	0	514	0.0000	18.276	COMPLETED	all campaign tests (non-TF + TF regression) at pinned 3fb56b36: 31 passed, 7 xfailed	phase_a/resources-A1.tsv
2026-09-22	phaseA1	58748392	m3246_g	gpu_debug	1	4	424	0.4711	0.000	COMPLETED	runtime check of run_unfold.py, both arms, tuning 100k, 2 iterations x 2 epochs, input digests vs the audit	phase_a/resources-A1.tsv
2026-09-22	phaseA1	58748393	m3246_g	gpu_debug	1	4	276	0.3067	0.000	COMPLETED	cost at the historical data size (final, 2M events), ours, 1 epoch per step	phase_a/resources-A1.tsv
2026-09-22	phaseA1	58748395	m3246_g	gpu_debug	1	4	501	0.5567	0.000	COMPLETED	cost at the historical data size (final, 2M events), theirs (his declared step-1 recipe), 1 epoch per step	phase_a/resources-A1.tsv
2026-09-22	phaseA1	58748758	m3246	debug	1	0	501	0.0000	17.813	COMPLETED	all campaign tests at the final code commit 7c5bb166: 31 passed, 7 xfailed	phase_a/resources-A1.tsv
2026-09-22	A2	58742132	m3246	shared_milan_ss11/shared	1	0	106	0.000	3.533	FAILED	recover+data-path; died in the OI-136 launch guard on NumPy's SVE lscpu probe (exit 3:0), fixed in 31347723	phase_a/resources-A2.tsv
2026-09-22	A2	58742133	m3246	shared_milan_ss11/shared	1	0	281	0.000	9.367	COMPLETED	feature inventory (run1); receipts/feature_inventory.json first version	phase_a/resources-A2.tsv
2026-09-22	A2	58747783	m3246	shared_milan_ss11/shared	1	0	508	0.000	16.933	COMPLETED	recover+data-path (run2); recompute_scores/directional/data_path.json	phase_a/resources-A2.tsv
2026-09-22	A2	58747784	m3246	shared_milan_ss11/shared	1	0	287	0.000	9.567	COMPLETED	feature inventory (run2); receipts/feature_inventory.json final	phase_a/resources-A2.tsv
2026-09-22	A2	58752537	m3246	shared_milan_ss11/shared	1	0	0	0.000	0.000	CANCELLED	mask-conjunct probe under shared QOS; cancelled by me while still PENDING (Resources) after 10 min and resubmitted to debug as 58752745. Never started, no charge	phase_a/resources-A2.tsv
2026-09-22	A2	58752745	m3246	regular_milan_ss11/debug	1	0	90	0.000	6.400	COMPLETED	decompose the masks_and_padding FAIL into its seven conjuncts; receipts/mask_conjuncts.json. Queued 125 s	phase_a/resources-A2.tsv
2026-09-22	B2	58755597	m3246_g	gpu_shared	1	1	2385	0.662	21.20	COMPLETED	exp1 H K=3 s1; wait_s=5534	phase_b/pet/resources-B2.tsv
2026-09-22	B2	58755598	m3246_g	gpu_shared	1	1	2413	0.670	21.45	COMPLETED	exp1 H K=3 s2; wait_s=5534	phase_b/pet/resources-B2.tsv
2026-09-22	B2	58755599	m3246_g	gpu_shared	1	1	2397	0.666	21.31	COMPLETED	exp1 H K=3 s3; wait_s=20828	phase_b/pet/resources-B2.tsv
2026-09-22	B2	58755600	m3246_g	gpu_shared	1	1	2372	0.659	21.08	COMPLETED	exp1 H K=3 s4; wait_s=20828	phase_b/pet/resources-B2.tsv
2026-09-22	B2	58755601	m3246_g	gpu_regular	0	0	0	0.000	0.00	CANCELLED	exp1 duplicate pack (cancelled); wait_s=n/a	phase_b/pet/resources-B2.tsv
2026-09-22	B2	58756024	m3246_g	gpu_debug	1	4	339	0.377	12.05	COMPLETED	driver mechanics check; wait_s=1524	phase_b/pet/resources-B2.tsv
2026-09-22	B2	58769968	m3246_g	gpu_preempt	1	4	4197	4.663	149.23	COMPLETED	exp2 truth-only 32 epochs; wait_s=35181	phase_b/pet/resources-B2.tsv
2026-09-22	B2	58769969	m3246_g	gpu_regular	0	0	0	0.000	0.00	CANCELLED	K=10 pack (cancelled; moved to chain); wait_s=n/a	phase_b/pet/resources-B2.tsv
2026-09-22	B2	58769970	m3246_g	gpu_preempt	0	0	0	0.000	0.00	CANCELLED	K=10 pack (cancelled; moved to chain); wait_s=n/a	phase_b/pet/resources-B2.tsv
2026-09-22	B2	58769971	m3246_g	gpu_regular	0	0	0	0.000	0.00	CANCELLED	K=10 pack (cancelled); wait_s=n/a	phase_b/pet/resources-B2.tsv
