date_utc	phase	slurm_job	account	partition_qos	nodes	gpus	elapsed_s	gpu_hours	cpu_core_hours	state	purpose
2026-09-23T20:41:37Z	V1	58798405	m3246	regular_milan_ss11/debug	1	0	85	0.000	6.044	COMPLETED	population targets + tests
2026-09-23T20:44:45Z	V1	58798408	m3246_g	gpu_ss11/gpu_debug	1	4	1674	1.860	59.520	COMPLETED	confirmatory run chain (PILOT/FINAL/STRESS; stage per job in <stage>/submissions.txt)
2026-09-23T20:44:45Z	V1	58798420	m3246_g	gpu_ss11/gpu_debug	1	4	1662	1.847	59.093	COMPLETED	confirmatory run chain (PILOT/FINAL/STRESS; stage per job in <stage>/submissions.txt)
2026-09-23T20:56:31Z	V1	58798949	m3246	regular_milan_ss11/debug	1	0	143	0.000	10.169	COMPLETED	confirmatory inputs check
2026-09-23T21:13:43Z	V1	58799222	m3246_g	gpu_ss11/gpu_debug	1	4	1705	1.894	60.622	COMPLETED	confirmatory run chain (PILOT/FINAL/STRESS; stage per job in <stage>/submissions.txt)
2026-09-23T21:13:43Z	V1	58799224	m3246_g	gpu_ss11/gpu_debug	1	4	1688	1.876	60.018	COMPLETED	confirmatory run chain (PILOT/FINAL/STRESS; stage per job in <stage>/submissions.txt)
2026-09-23T21:56:25Z	V1	58799743	m3246_g	gpu_ss11/gpu_debug	1	4	1715	1.906	60.978	COMPLETED	confirmatory run chain (PILOT/FINAL/STRESS; stage per job in <stage>/submissions.txt)
2026-09-23T21:56:25Z	V1	58799744	m3246_g	gpu_ss11/gpu_debug	1	4	1714	1.904	60.942	COMPLETED	confirmatory run chain (PILOT/FINAL/STRESS; stage per job in <stage>/submissions.txt)
2026-09-23T22:30:08Z	V1	58801924	m3246_g	gpu_ss11/gpu_debug	1	4	1696	1.884	60.302	COMPLETED	confirmatory run chain (PILOT/FINAL/STRESS; stage per job in <stage>/submissions.txt)
2026-09-23T22:30:09Z	V1	58801929	m3246_g	gpu_ss11/gpu_debug	1	4	1683	1.870	59.840	COMPLETED	confirmatory run chain (PILOT/FINAL/STRESS; stage per job in <stage>/submissions.txt)
2026-09-23T23:05:45Z	V1	58803600	m3246_g	gpu_ss11/gpu_debug	1	4	1686	1.873	59.947	COMPLETED	confirmatory run chain (PILOT/FINAL/STRESS; stage per job in <stage>/submissions.txt)
2026-09-23T23:05:45Z	V1	58803601	m3246_g	gpu_ss11/gpu_debug	1	4	1698	1.887	60.373	COMPLETED	confirmatory run chain (PILOT/FINAL/STRESS; stage per job in <stage>/submissions.txt)
2026-09-23T23:49:02Z	V1	58804824	m3246_g	gpu_ss11/gpu_debug	1	4	1720	1.911	61.156	COMPLETED	confirmatory run chain (PILOT/FINAL/STRESS; stage per job in <stage>/submissions.txt)
2026-09-23T23:49:02Z	V1	58804835	m3246_g	gpu_ss11/gpu_debug	1	4	1685	1.872	59.911	COMPLETED	confirmatory run chain (PILOT/FINAL/STRESS; stage per job in <stage>/submissions.txt)
2026-09-23T23:49:05Z	V1	58798410	m3246_g	shared_gpu_ss11/gpu_shared	1	1	1648	0.458	14.649	COMPLETED	confirmatory single-run copy (gpu_shared race copy of a chain row)
2026-09-24T00:02:05Z	V1	58798413	m3246_g	shared_gpu_ss11/gpu_shared	1	1	6	0.002	0.053	COMPLETED	confirmatory single-run copy (gpu_shared race copy of a chain row)
2026-09-24T00:25:18Z	V1	58805948	m3246_g	gpu_ss11/gpu_debug	1	4	15	0.017	0.533	COMPLETED	confirmatory run chain (PILOT/FINAL/STRESS; stage per job in <stage>/submissions.txt)
2026-09-24T00:25:18Z	V1	58805963	m3246_g	gpu_ss11/gpu_debug	1	4	1616	1.796	57.458	COMPLETED	confirmatory run chain (PILOT/FINAL/STRESS; stage per job in <stage>/submissions.txt)
2026-09-24T00:29:47Z	V1	58807094	m3246_g	gpu_ss11/gpu_debug	1	4	17	0.019	0.604	COMPLETED	confirmatory run chain (PILOT/FINAL/STRESS; stage per job in <stage>/submissions.txt)
2026-09-24T00:34:08Z	V1	58807241	m3246_g	gpu_ss11/gpu_debug	1	4	16	0.018	0.569	COMPLETED	confirmatory run chain (PILOT/FINAL/STRESS; stage per job in <stage>/submissions.txt)
2026-09-24T00:38:16Z	V1	58807340	m3246_g	gpu_ss11/gpu_debug	1	4	15	0.017	0.533	COMPLETED	confirmatory run chain (PILOT/FINAL/STRESS; stage per job in <stage>/submissions.txt)
2026-09-24T00:42:39Z	V1	58807464	m3246_g	gpu_ss11/gpu_debug	1	4	12	0.013	0.427	COMPLETED	confirmatory run chain (PILOT/FINAL/STRESS; stage per job in <stage>/submissions.txt)
2026-09-24T00:46:47Z	V1	58807609	m3246_g	gpu_ss11/gpu_debug	1	4	14	0.016	0.498	COMPLETED	confirmatory run chain (PILOT/FINAL/STRESS; stage per job in <stage>/submissions.txt)
2026-09-24T01:21:40Z	V1	58807093	m3246_g	gpu_ss11/gpu_debug	1	4	1602	1.780	56.960	COMPLETED	confirmatory run chain (PILOT/FINAL/STRESS; stage per job in <stage>/submissions.txt)
2026-09-24T01:21:41Z	V1	58807661	m3246_g	gpu_ss11/gpu_debug	1	4	14	0.016	0.498	COMPLETED	confirmatory run chain (PILOT/FINAL/STRESS; stage per job in <stage>/submissions.txt)
2026-09-24T01:26:31Z	V1	58808684	m3246_g	gpu_ss11/gpu_debug	1	4	11	0.012	0.391	COMPLETED	confirmatory run chain (PILOT/FINAL/STRESS; stage per job in <stage>/submissions.txt)
2026-09-24T01:31:43Z	V1	58808826	m3246_g	gpu_ss11/gpu_debug	1	4	11	0.012	0.391	COMPLETED	confirmatory run chain (PILOT/FINAL/STRESS; stage per job in <stage>/submissions.txt)
2026-09-24T01:37:06Z	V1	58808938	m3246_g	gpu_ss11/gpu_debug	1	4	16	0.018	0.569	COMPLETED	confirmatory run chain (PILOT/FINAL/STRESS; stage per job in <stage>/submissions.txt)
2026-09-24T01:42:45Z	V1	58808974	m3246_g	gpu_ss11/gpu_debug	1	4	1703	1.892	60.551	COMPLETED	confirmatory run chain (PILOT/FINAL/STRESS; stage per job in <stage>/submissions.txt)
