date_utc	phase	slurm_job	account	partition_qos	nodes	gpus	elapsed_s	gpu_hours	cpu_core_hours	state	purpose
2026-09-22	B2	58755597	m3246_g	gpu_shared	1	1	2385	0.662	21.20	COMPLETED	exp1 H K=3 s1; wait_s=5534
2026-09-22	B2	58755598	m3246_g	gpu_shared	1	1	2413	0.670	21.45	COMPLETED	exp1 H K=3 s2; wait_s=5534
2026-09-22	B2	58755599	m3246_g	gpu_shared	1	1	2397	0.666	21.31	COMPLETED	exp1 H K=3 s3; wait_s=20828
2026-09-22	B2	58755600	m3246_g	gpu_shared	1	1	2372	0.659	21.08	COMPLETED	exp1 H K=3 s4; wait_s=20828
2026-09-22	B2	58755601	m3246_g	gpu_regular	0	0	0	0.000	0.00	CANCELLED	exp1 duplicate pack (cancelled); wait_s=n/a
2026-09-22	B2	58756024	m3246_g	gpu_debug	1	4	339	0.377	12.05	COMPLETED	driver mechanics check; wait_s=1524
2026-09-22	B2	58769968	m3246_g	gpu_preempt	1	4	4197	4.663	149.23	COMPLETED	exp2 truth-only 32 epochs; wait_s=35181
2026-09-22	B2	58769969	m3246_g	gpu_regular	0	0	0	0.000	0.00	CANCELLED	K=10 pack (cancelled; moved to chain); wait_s=n/a
2026-09-22	B2	58769970	m3246_g	gpu_preempt	0	0	0	0.000	0.00	CANCELLED	K=10 pack (cancelled; moved to chain); wait_s=n/a
2026-09-22	B2	58769971	m3246_g	gpu_regular	0	0	0	0.000	0.00	CANCELLED	K=10 pack (cancelled); wait_s=n/a
2026-09-22	B2	58769978	m3246	shared	0	0	0	0.000	0.00	CANCELLED	T3 scalar ref (cancelled; ran in debug); wait_s=n/a
2026-09-22	B2	58780654	m3246_g	gpu_debug	1	4	1802	2.002	64.07	TIMEOUT	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=751
2026-09-22	B2	58780657	m3246_g	gpu_debug	1	4	942	1.047	33.49	COMPLETED	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=1622
2026-09-22	B2	58780659	m3246	debug	1	0	221	0.000	15.72	COMPLETED	T3 scalar reference; wait_s=215
2026-09-22	B2	58781614	m3246_g	gpu_debug	0	0	0	0.000	0.00	CANCELLED	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=n/a
2026-09-22	B2	58781966	m3246_g	gpu_debug	1	4	1659	1.843	58.99	COMPLETED	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=983
2026-09-22	B2	58781967	m3246_g	gpu_debug	1	4	943	1.048	33.53	COMPLETED	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=983
2026-09-22	B2	58781990	m3246_g	gpu_preempt	0	0	0	0.000	0.00	CANCELLED	exp5 preempt pack (cancelled; moved to chain); wait_s=n/a
2026-09-22	B2	58782367	m3246_g	gpu_debug	1	4	1665	1.850	59.20	COMPLETED	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=97
2026-09-22	B2	58782488	m3246_g	gpu_debug	1	4	1673	1.859	59.48	COMPLETED	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=2608
2026-09-22	B2	58782671	m3246_g	gpu_debug	1	4	1657	1.841	58.92	COMPLETED	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=1569
2026-09-23	B2	58783357	m3246_g	gpu_debug	1	4	1663	1.848	59.13	COMPLETED	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=359
2026-09-23	B2	58783360	m3246_g	gpu_debug	1	4	1663	1.848	59.13	COMPLETED	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=346
2026-09-23	B2	58783850	m3246_g	gpu_debug	1	4	943	1.048	33.53	COMPLETED	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=66
2026-09-23	B2	58783851	m3246_g	gpu_debug	1	4	1660	1.844	59.02	COMPLETED	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=66
2026-09-23	B2	58784064	m3246_g	gpu_debug	1	4	1659	1.843	58.99	COMPLETED	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=107
2026-09-23	B2	58784189	m3246_g	gpu_debug	1	4	946	1.051	33.64	COMPLETED	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=84
2026-09-23	B2	58784440	m3246_g	gpu_debug	1	4	1680	1.867	59.73	COMPLETED	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=73
2026-09-23	B2	58784444	m3246_g	gpu_debug	1	4	943	1.048	33.53	COMPLETED	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=159
2026-09-23	B2	58784708	m3246_g	gpu_debug	1	4	1641	1.823	58.35	COMPLETED	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=86
2026-09-23	B2	58784838	m3246_g	gpu_debug	1	4	988	1.098	35.13	COMPLETED	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=92
2026-09-23	B2	58785788	m3246_g	gpu_debug	1	4	203	0.226	7.22	RUNNING	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=94
2026-09-23	B2	58785789	m3246_g	gpu_debug	1	4	203	0.226	7.22	RUNNING	self-chaining gpu_debug segment (exp2 12-ep / exp3-4 K=10 / exp5); wait_s=92
